Japanese;English;French;German;
"兄ちゃん・・・オイラも
これで 商売してるゴロ

次は ちゃんと
20ルピー持ってきてね";"You do not get things for
free in this world.

Next time, be sure to bring
20 Rupees, OK?";"Mon copain... Moi aussi
j'ai décidé de faire
du commerce.
La prochaine fois, n'oublie
pas d'apporter 20 rubis.";"Weißt du, Kleiner, ich
verkaufe das auch...

Bring beim nächsten Mal
20 Rubine mit, ja?";
"ここは まだ
準備中ゴロよ

村の様子が 落ち着いたころに
オープンするから また
遊びに来てくれゴロ";"We are not ready for
business yet...

We will reopen when the
village has returned to
normal. Come visit us then!";"Désolé, on n'est pas encore
ouverts.

Reviens quand la situation
se sera calmée au village.";"Leider haben wir nicht
geöffnet.

Wir öffnen wieder, sobald
die Lage sich beruhigt
hat.";
"おっ？！
記録 更新だゴロね？";"You broke your previous
record! Nice work!";"Oh! C'est un nouveau
record!
";"Toll! Ein neuer Rekord!";
"大きな 宝箱と
小さな 宝箱 どっちか 
好きなほうを 選ぶゴロ！";"Do you want the big
treasure chest or the 
little one?";"Choisis un coffre! Veux-tu
le grand ou le petit?";"Such's dir aus, entweder die
große Schatztruhe oder die
kleine!";
"お前 やるゴロね～！
[Number] 点は
大ゴロン賞だゴロ！
歴代 ゴロンの中でも
殿堂入りクラスの
記録だゴロよ！";"You are really something!
You got [Number] ,
enough for the Goro-prize!
It is a record for the ages!
You belong in the pantheon
of Goro-heroes!";"Tu es vraiment très fort!
[Number] points, ça mérite
le grand prix Goron!
C'est un record digne des
meilleurs Gorons de tous
les temps!";"Schade! [Number] Punkte...
Aber immerhin gibt's dafür
'nen Trostpreis!";
"おめでとうゴロ！
[Number] 点は
ゴロン賞だゴロ！
もう どのゴロンの前に
出しても 恥ずかしくないゴロ！";"Congratulations! You got 
[Number] , which means 
you earned this Goroprize!
Any Goron you show this
to will be oh-so jealous!";"Félicitations! Avec tes
[Number] points, tu remportes
un prix Goron!
Tu n'auras plus à rougir
devant aucun Goron!";"Schade! [Number] Punkte...
Aber immerhin gibt's dafür
'nen Trostpreis!";
"[Number] 点ね
・・・健闘賞だゴロ";"Uh-huh, yes, [Number] ,
yes? That is enough for a
prize!";"Hmmm... [Number] points...
Pas mal. Voici un prix
d'encouragement.";"Oh, [Number] Punkte...
Na ja, ich gebe dir etwas
fürs Mitmachen.";
"う～ん たったの
[Number] 点だったゴロ
参加賞だゴロ";"You only got [Number]
. Here is something
small for your efforts.";"Seulement [Number] ...
Voici quand même un
prix de participation.";"Gerade [Number] Punkte.
Ich geb dir was fürs
Mitmachen, ja?";
"やめるゴロか？
まぁ いいけど・・・";"You are quitting now? Well,
OK, I suppose.";"Tu veux arrêter?
Comme tu voudras...";"Keine Lust? Na gut...";
"[Number] 点・・・
残念賞だゴロ
次 がんばるゴロよ";"Your [Number] points gets 
you...nothing. Oh well. 
There is always next time.";"[Number] ...
Essaie de faire mieux
la prochaine fois.";"[Number] Punkte...
Das reicht leider nicht.
Versuch's weiter!";
"さてさて・・・
もう一回するゴロ？
はいいいえ";"All right then. Want to try
again?
YesNo";"Alors... Tu veux réessayer?
OuiNon";"Na, noch eine Runde?
Ja.Nein.";
"またの チャレンジ
お待ちしてるゴロ～";"Well, see you later.";"Reviens tenter ta chance!";"Na gut, bis dann!";
"えっと・・・
ルールの説明は いるゴロか？
いらないいる";"Would you like an 
explanation?
No needPlease";"Euh... Tu veux que je
t'explique les règles?
Ça ira...Oui!";"Soll ich dir die Regeln
erklären?
Nein.Ja.";
"お客さんの 最高記録は
[Number] 点だゴロ";"The record right now is
[Number] . 
Try to beat it!";"Voyons... Le record actuel
est de [Number] points.";"Der momentane Rekord liegt
bei [Number] Punkten.";
"マトは全部で 三種類！
撃ったマトによって
それぞれ点数が ちがうゴロ
ただし・・・オイラの顔は
撃っちゃダメゴロ！
撃ったら あとで説教ゴロ！
点数によって
豪華景品を プレゼント
するゴロよ！";"There are three kinds of
target. Each kind has a
different point value!
But be careful not to shoot
any Goron faces!

If you do, you will get
minus points!

Depending on your score,
you might win a fabulous
prize!";"Il existe trois sortes de
cibles!

Elles rapportent chacune un
nombre de points différent!

Mais il ne faut pas tirer
sur mon visage, sinon tu
entendras parler de moi!
En fonction de ton score,
tu peux gagner de superbes
prix!";"Also, es gibt drei unter-
schiedliche Scheiben.

Je nach Scheibe bekommst
du mehr oder weniger
Punkte. Logisch, oder?
Mich anzuvisieren ist
übrigens strengstens
verboten!
Und für gute Leistungen
winken fette Gewinne!";
"それじゃあ 初めてだし
ルールの説明するゴロ！

マトは全部で 三種類！
撃ったマトによって
それぞれ点数が ちがうゴロよ！
ただし オイラの顔は
撃っちゃダメゴロ！
撃ったら あとで説教ゴロ！
点数によって
豪華景品を プレゼント
するゴロよ！";"Since this is your first
time, I will explain the
rules.
There are three kinds of
target. Each kind has a
different point value!
But be careful not to shoot
any Goron faces!

If you do, you will get
minus points!

Depending on your score,
you might win a fabulous
prize!";"Bien, je t'explique les
règles!

Il existe trois sortes de
cibles!

Elles rapportent chacune un
nombre de points différent!

Mais il ne faut pas tirer
sur mon visage, sinon tu
entendras parler de moi!
En fonction de ton score,
tu peux gagner de superbes
prix!";"Also, es gibt drei unter-
schiedliche Scheiben.

Je nach Scheibe bekommst
du mehr oder weniger
Punkte. Logisch, oder?
Mich anzuvisieren ist
übrigens strengstens
verboten!
Und für gute Leistungen
winken fette Gewinne!";
"それじゃあ がんばるゴロ！";"All right, good luck!";"Allez, bon courage!";"Dann viel Spaß!";
"前回の お客さんの
得点は・・・[Number] 点だゴロ

お客さんクラスだと
今のコースじゃ 正直
物足りないゴロね？
そ・こ・で！！


そんな お客さんのために
ちょっと線路の 長さを
のばしておいたゴロ！
さらなる 高得点を
目指してくれゴロ！";"You already got [Number] 
points.

You are probably thinking
that this game is now far 
too easy.
But if you think that, I
assure you, you are missing
out!
I have extended the course
just for you. Now go and
try to beat your high score!";"La dernière fois tu as
obtenu un score de...
[Number] points.
Le parcours actuel est un
peu trop facile pour toi,
non? 
Rassure-toi!


J'ai pensé à toi et je l'ai
un peu allongé.

Essaie d'établir un
nouveau record!";"Letztes Mal hattest du...
[Number] !

Der Kurs scheint dir nicht
zu reichen, also habe ich
ihn verlängert!
Dann zeig mal, wie viele
Punkte du jetzt schaffst!";
"あ・・出発するのですか？
はいいいえ";"Ready to go?
YesNo";"On y va?
OuiNon";"Bereit?
Ja.Nein.";
"さあ 行きましょう！！";"OK, all aboooard!";"Alors, c'est parti!";"Dann los!";
"まだ ちょうせん
するのですか・・・";"So you are going to try
again...";"Tu veux encore jouer?";"Du willst es noch einmal
versuchen, was?";
"そうですか・・・";"I see...";"Je vois...";"Na gut...";
"ここは しばらく
お取り込み中 みたいですけど・・・";"It seems like nothing's 
happening here, I guess...";"Je ne pense pas que ça
ouvrira avant un moment...";"Was willst du hier denn
noch?";
"勝手に 入って
よかったのでしょうか・・・

何かの 発着場
みたいですけど・・・";"Do you think it's OK for
us to be here?

It looks pretty deserted...";"Je ne suis pas sûre qu'on
ait bien fait d'entrer...

Ça ressemble à une sorte de
quai...";"Ich weiß nicht, ob es gut
war, dass wir einfach so
eingetreten sind...
Sieht nach einer Verlade-
stelle aus...";
"ハッハッハッハー！
よく来たな ボウズ！
それと ハイラルの姫様だな！
オレの名前は ボイラ！
この 火の大地を
守る者だ！";"So, you've arrived at last,
boy! And you too, Zelda of
Hyrule!
My name is Embrose, and
I'm the guardian of the
Fire Land!";"Hahahaha! Bienvenue à toi,
p'tit gars! Et à vous aussi,
princesse d'Hyrule!
Je m'appelle Bouyer!
Je suis le gardien de
la contrée du feu!";"Hahaha!
Hallo, Kleiner!

Ich bin Kessel! Ich
beschütze die Feuerhöhe!";
"よ～し いい返事だ！
声が大きくて
大変 よろしい！
はるばる ここまで来た
オマエの 勇気に
オレは 感動したぞ！
さて・・・消えちまった 線路を
復活させるためには
オマエの力が 必要だ
復活の唄の ことは
知ってるな？
もちろんなんだっけ？";"Good answer! And good
posture and volume! You
remind me of myself, boy!
And I'm very impressed with
the courage it took to
make it here!
Now...in order to restore
the lost spirit tracks, I
need your help.
Do you know about the
Song of Restoration?
Of course!I forget...";"Oui! C'est ce que je voulais
entendre! D'une voix haute
et claire!
Tu as dû braver bien
des dangers pour venir
jusqu'ici.
Je suis impressionné.


Bien... Pour restaurer les
voies disparues, je vais
avoir besoin de ton aide.
Tu sais ce qu'est le chant
de la renaissance?
Bien sûr!Le quoi?";"Haha, diese Antwort gefällt
mir! Voll jugendlicher Kraft!

Dein Schneid, den ganzen
Weg zu mir zu fahren...
Respekt, Kleiner!
So... Um die Schienen
wiederherzustellen, brauche
ich deine Kraft!
Du kennst doch das Lied
der Erneuerung, oder?
Klar!Lied?";
"おっ？
オレの 思いちがいか？";"What's that? Was my
intuition mistaken?";"Tiens?
Je me serais trompé?";"Hä?
Wie kann das denn sein?";
"この大地の 結界を
元に戻したい・・・そうだな？

オレの目を見て 答えてみろ！
そうですちがう";"But... Have you really
come to restore the spirit
tracks?
Look me in the eyes and
answer honestly!
I have!Um...no";"Tu es venu restaurer le
sceau de cette contrée,
n'est-ce pas?
Réponds-moi franchement!
OuiNon";"Du bist gekommen, um die
Schienen wiederherzustellen.

Stimmt doch, oder?
Ja.Nein.";
"各地に 伝わる
線路を 復活させるための
特別なメロディさ
楽器ごとに がくふが
違っていてな・・・合わせて
初めて 曲になるんだ
ただし・・・


この 火の大地の曲を
今までの土地と
一緒にするなよ？
リズムが フクザツだから
このオレ自ら 教えるのだ

これから オマエのパートを
教えてやる！ リズムと音に
注意して マネしてみな！
もう じゅうぶんだと思ったら
いったん笛を おいてくれ";"Each land has a special
song that restores the
spirit tracks within it.
The song is made up of
two parts, each played by
a different instrument.
First, I will teach you your
part, so listen well and try
to do the same thing!
Once you have it, put down
your flute.";"Dans chaque contrée, une
mélodie existe pour
restaurer les voies ferrées.
Pour jouer cette mélodie, il
faut deux instruments avec
des partitions distinctes.
Je vais t'enseigner ta
partie. Ecoute bien et
reproduis ce que je joue!
Quand tu l'auras mémorisée,
tu pourras poser ta flûte.";"Wir müssen eine bestimmte
Melodie spielen, um die
Schienen zu erneuern.
Unsere Instrumente spielen
verschiedene Parts, die zu
einem Lied werden.
Zuerst bringe ich dir mal
deinen Part bei. Hör zu und
spiel ihn dann nach!
Wenn du ihn dir gemerkt
hast, leg die Panflöte
kurz weg.";
"オマエも 知ってるとおり
この曲は ふたつの楽器で
ひとつの 曲になるんだ
ただし・・・


この 火の大地の曲を
今までの土地と
一緒にするなよ？
リズムが フクザツだから
このオレ自ら 教えるのだ

これから オマエのパートを
教えてやる！ リズムと音に
注意して マネしてみな！
もう じゅうぶんだと思ったら
いったん笛を おいてくれ";"As you know, each song
requires two instruments
to play it correctly.
Now listen, I will play your
part first, so try to do
what I do!
When you think you have
it, put down your flute.";"Comme tu le sais, ce
morceau se joue à deux
instruments.
Je vais t'enseigner ta
partie. Ecoute bien et
reproduis ce que je joue!
Quand tu auras assez
répété, tu pourras poser
ta flûte.";"Wie du weißt, wird aus
unseren beiden Parts ein
einziges Lied.
Zuerst bringe ich dir mal
deinen Part bei. Hör zu und
spiel ihn dann nach!
Wenn du ihn dir gemerkt
hast, leg die Panflöte
kurz weg.";
"あの・・・はじめまして
あなたが この大地を治める
賢者様ですか？
わたしたち シャリン様に
あなたのことを 聞いて・・・";"Excuse me, are you the 
guardian of this land?
Anjean told us about you.";"Euh... Bonjour. Etes-vous
le sage qui veille sur cette
contrée?
Dame Bicelle nous a parlé
de vous...";"Hallo! Bist du der Weise,
der über diese Gegend hier
wacht?
Wir kommen von Shiene...";
"うっ・・・な なんだか
すごい エネルギーですわね

それにしても ロコモ族の
賢者様は みんな
個性的ですわ
ここは なんだか
あつくる・・・";"Whoa! This guy's pretty
peppy, isn't he?

You know, the Lokomos are
pretty unique people. And 
this one's no exception...";"Oh... Il dégage une telle
énergie.

Les sages Locomos sont
tous très différents.

Je sens un grande chaleur...";"Oh... Ja, ich fühle eine
starke Energie von ihm
ausgehen.
Aber die Lokomo sind ja
alle sehr eigen...

Puh, ist das heiß hier!";
"自分の思いを 伝えようとする
その気持ち・・・ガッツが
一番 大切だからな！
オマエたちのことは
聞いている！

この大地の 結界を
元に戻したい・・・そうだな？
はいちがう";"You need to make the other
person FEEL what you're
saying!
And yes, I know who you 
guys are.

You came here to restore 
the spirit tracks, right?
YepNope";"L'important, c'est l'émotion
qu'on veut faire passer, ce
qu'on a dans les tripes!
J'ai entendu parler de vous!
Vous voulez restaurer le
sceau de cette contrée!
C'est bien ça?
OuiNon";"Wenn man sich Gehör
verschaffen will, braucht
man vor allem Mut!
Ich habe von euch
gehört...

Ihr seid gekommen, um die
Schienen zu erneuern, oder?
Genau.Nein.";
"は！ はい すいません！";"I-I'm sorry!";"Ah! Oui! Désolée!";"Oh... Entschuldigung!";
"人の話を 聞くときは
目をそらすな！！";"You should be confident
and courageous in every
word you speak!";"Quand on s'adresse à
quelqu'un, on le regarde
droit dans les yeux!";"Seht mich an, wenn ihr mit
mir redet!";
"よぉ～し！
リズムもちゃんと 覚えたな？

それじゃ 本番いくか？
うん！れんしゅう";"Good! Then are you ready
for the real thing?
Let's do it!Practise!";"Bien! Alors, qu'est-ce
que tu veux faire?
EssayerRépéter";"Na dann, Kleiner! Lassen
wir's krachen?
Ja!Üben.";
"ヒャッホー！
オレのビートに つられるなよ！";"Now, don't be confused 
by my part!";"Youhou! Ne te laisse pas
perturber par mon rythme
endiablé!";"Und lass dich nicht von
meinem Part beeinflussen!";
"よし! もう一回
見本を見せてやる

よく聞いて 音とリズムを
おぼえるんだ！";"OK, let me show you your
part again. Concentrate
this time!";"Très bien, je vais te
montrer encore une fois!
Ecoute et mémorise bien!";"Ich spiel's dir noch mal vor,
also spitz die Ohren!";
"おいおい どうした？
オレの 合図の 後が
オマエの番だぞ？
休憩するのは
これが 終わってからにしろ！";"What's the matter? When I
give the signal, that means
it's your turn!
You can take a break when
we're done!";"Ben alors? A mon signal,
c'est à toi!

Tu te reposeras après!";"Kleiner, was machst du
denn? Ich zeige dir, wann
dein Einsatz gefragt ist!";
"うむ・・・オマエは
基本が なってない！

さっき れんしゅうしたよな？
オレの音に つられないように
あの曲を 吹くんだぞ！
ガチャガチャやってて
ハーモニーなんか
生まれるはずはないんだ";"No, no, you've got to get
the basics down. Come on,
we practised this.
You play your part, and I'll
play mine.

If we do it right, we'll
create a harmony!";"Non... Tu ne maîtrises
pas les bases!

On a répété, non? Tu dois
jouer sans te laisser
influencer par ma mélodie!
Si tu fais n'importe quoi,
on arrivera jamais à jouer
en harmonie!";"Ja, Kleiner, da müssen wir
wohl an die Grundlagen...

Denk mal an die Übung!
Kümmer dich nicht darum,
was ich jetzt spiele.
Wenn du nur einfach
drauflosspielst, entsteht
keine Harmonie.";
"うむ・・・アレンジもいいが
自分のターンの タイミングは
守ってくれよ
オレが オマエのほうを
向いたとき・・・
それが合図だ！ いいな？";"This isn't about your spin
on things - it's MY spin
that's important!
Join in with the Spirit
Pipes after you see me spin
around to you. All right?";"Euh... Je suis pas contre
une note personnelle, mais
respecte le tempo.
Quand je me tourne vers
toi, c'est à ton tour...
T'as pigé?";"Hast du mein Zeichen
gesehen? Falls ja, hätte das
besser klingen müssen!
Spiel erst, wenn ich dir das
Zeichen für deinen Einsatz
gebe. In Ordnung, Kleiner?";
"おいおい！ 調子に乗って
アレンジしすぎだ！

さっき れんしゅうしただろ？


リズムと音・・・どちらかが
違えば それは別の曲だぜ

オレの音に つられないように
あの曲を 吹いてくれ！";"I don't mind a little improv,
but I think you might be
overdoing it.
Just follow the score and
don't get confused by what
I'm playing!";"Tu peux un peu arranger le
rythme à ta sauce, mais il
faut respecter les notes!
On a répété, non? Joue
ta partie sans te laisser
perturber par ma mélodie!";"Improvisieren finde ich toll,
aber hier hat es leider
keinen Platz!
Spiel einfach das, was wir
geübt haben. Hör nicht auf
das, was ich jetzt spiele!";
"う～ん 全体的に
バラバラな 印象だよな？
・・・なぜだ？
さっき れんしゅうしただろう？
音とリズムに 注意して
自分のターンのときに ふくんだ";"In general, things feel a
little too loose. And do
you know why?
It's because our hearts
aren't communicating!";"Hmm, c'est assez brouillon,
tout ça... Comment ça se
fait?
Il faut qu'on arrive à se
mettre sur la même longueur
d'onde, p'tit gars!";"Das hat mich nicht so recht
überzeugt. Und weißt du
auch, warum?
Wir sind nicht auf derselben
Wellenlänge, Kleiner!";
"もう一回 やるか？
うんれんしゅうやめる";"Should we try again? Or do
you want to practise?
Try againPractiseQuit";"Qu'est-ce que tu veux
faire?
RéessayerRépéterRien";"Willst du es erneut
versuchen?
Ja.Üben.Nein.";
"よし！ もう一回
見本を 見せてやるからな！

よく聞いて リズムと音を
おぼえるんだ！";"OK, let's try it again.
I'll show you how to do it,
so listen up!";"Très bien, je vais te
montrer encore une fois!
Ecoute et mémorise bien!";"Na dann, Kleiner! Ich zeig
dir noch mal, wie's gemacht
wird! Pass auf!";
"そうか・・・
心の 準備ができたら
また 声かけてくれ";"OK... Come back when
you're ready to play!";"Je vois... Reviens me voir
quand tu te sentiras prêt!";"Gut, schau wieder rein,
wenn du bereit bist, die
Fetzen fliegen zu lassen!";
"フッ・・・まさかホントに
線路を 復活
させちまうとはな・・・";"I can't believe we were
able to restore those
tracks! Incredible!";"T'as vraiment réussi à
restaurer les voies?!
Tu m'épates, p'tit gars!";"Ich dachte, die Schienen
sind bereits erneuert.";
"オレは かんどうしたぞ！
火の神殿は もうすぐだ
気をつけてな！";"That was inspirational!
Now, off to the Mountain 
Temple with you! 
Take care!";"Tu m'as vraiment ému!
Tu peux te rendre au
temple du feu.
Sois prudent, p'tit gars!";"Das war echt bewegend,
Kleiner! Sei vorsichtig
im Feuertempel!";
"おっ？
本番 いけそうか？
うん！れんしゅうやめる";"Oh? You're ready for the
real thing?

Or do you want to
practise first?
I'm ready!Practise!Neither";"Alors? Tu es prêt à jouer?
Oui!Répétons!Non!";"Na? Willst du ans
Eingemachte gehen?
Ja.Üben.Nein.";
"よし！ わすれるなよ？
オレとオマエは それぞれの
パートを えんそうする！
オレが 合図したら
さっき れんしゅうした
あの曲を 吹くんだ！";"OK, don't forget now! We've
got to play the song with 
our hearts!
When I give you the signal,
you play exactly like we
just practised!";"OK! T'as pas oublié?
On doit jouer chacun
notre partie!
A mon signal, joue le
morceau qu'on a répété!";"Alles klar! Und nicht
vergessen, wir spielen
jeder unseren Part!
Wenn ich dir das Zeichen
gebe, spiel die Melodie,
die wir geübt haben!";
"よし！ もう一回
お手本を 見せてやる！

よく聞いて リズムと音を
覚えるんだ！";"OK! I'll teach you the tune
one more time! Listen and
remember it!";"Très bien, je vais te
montrer encore une fois!
Ecoute et mémorise bien!";"Na dann, Kleiner! Ich zeig
dir noch mal, wie's gemacht
wird! Pass auf!";
"そうか・・・
心の 準備ができたら
声をかけてくれ";"OK... When you're ready to
try again, come get me.";"Je vois... Reviens me voir
quand tu te sentiras prêt!";"Gut, schau wieder rein,
wenn du bereit bist, die
Fetzen fliegen zu lassen!";
"[Link]！
やりましたね！

いままでの 演奏で
一番 上手でした！

さあ 火の神殿に
行きましょう！";"You did it! That was the
best performance yet,
[Link]!
Come on, let's make our
way to the Mountain 
Temple!";"Bravo, [Link]!
C'était ta plus belle
performance de toutes!
Bien, en route pour le
temple du feu!";"Du hast es geschafft,
[Link]!
Das war klasse!
Jetzt können wir endlich
zum Feuertempel.";
"ありがとう ございます！
ボイラ様！";"Thank you so much,
Embrose!";"Merci infiniment, Bouyer!";"Vielen Dank, Kessel!";
"おう！
よくやったな！

火の神殿のある 山は
いろいろキケンだから 村で
ひと通り 話を聞いて行けよ！";"Well done indeed! Just one
thing before you go.

The mountain's rife with 
danger, so talk to people at
the village before you go!";"Oh! Bravo!


La montagne où se trouve
le temple du feu est pleine
de dangers!
Demande conseil aux
Gorons du village!";"Gut gemacht, Kleiner!


Hör dich besser nochmal
im Dorf um, bevor du
aufbrichst!";
"～友情の扉～


昔々 2人の男が
1人の 美しい女性に
恋をしました
男の1人は どこに行っても
みんなの 視線を集める人気者
でしたが・・・
女性の心を 射止めたのは
もう1人の男でした

ひとしきり 恋の戦いが
行われた後 2人の男の間には
唄が生まれ・・・
光りかがやく 友情の扉が
開かれたといいます";"Opening the Door of
Friendship

Once upon a time, two men
fell in love with a beautiful
woman.
One man was popular and
always the centre of
attention.
But all he cared about was
the beautiful woman he had
fallen in love with.
Unfortunately for him, the 
woman only had eyes for 
the other man.
The battle for the woman's
love grew and sent sparks
hot enough to melt stone.
But eventually, friendship
shone between the men like 
a light, uniting the pair.
It was as if a door had
been unlocked.";"- Les portes de l'amitié -


Il y a fort longtemps, deux
hommes s'éprirent d'une très
belle femme.
L'un d'eux était très
populaire et attirait tous
les regards où qu'il aille...
Mais c'est pour l'autre
homme que battait le cœur
de la jeune femme.
Au terme d'une longue
rivalité amoureuse...

on dit qu'une mélodie
retentit entre les deux
hommes...
et qu'elle ouvrit les portes
d'une amitié radieuse.";"-Freundschaft öffnet Türen-


Vor langer Zeit lebten
einmal zwei sehr gute
Freunde.
Sie beide waren in die selbe
wunderschöne Frau verliebt.

Der eine stand immer im
Mittelpunkt, wo er auch
hinging.
Sie aber liebte den anderen
der beiden Männer.

Im Kampf um das Herz ihrer
Angebeteten standen sie
sich feindselig gegenüber.
Doch am Ende verband die
Musik der Freundschaft sie,
und ihre Herzen leuchteten.
Es war, als habe sich ein
versiegeltes Tor geöffnet...";
"どうした ボウズ？
道わかんなくなったのか
うんちがう";"What's up, kid? Lost your
way?
YeahNo!";"Qu'est-ce qui t'arrive
gamin? Tu t'es perdu?
OuiNon";"Was ist los mit dir?
Hast du dich etwa verirrt?
Ja.Nein.";
"頼んどいて なんだが
なかは バケモノだらけだぜ
気をつけろよ";"That place is full of
monsters. Better go in
prepared.";"A propos de ce que je t'ai
demandé...

Fais attention, c'est infesté
de monstres là-dedans!";"Pass auf, denn darin
wimmelt es von Monstern.
Bereite dich gut vor!";
"この 洞窟のなかは
迷路みたいに なってるんだ

言い伝えどおりに すすめば
お宝を探し出せるはずだ

この洞窟には つぼと岩の
２つの部屋しか存在しない

岩の部屋を 北に 3度続ける
事が出来れば・・・

その部屋で お宝を発掘
することができるであろう・・・

わかったか？
うんもういっかい";"This cave is basically one
big maze.

But there's a riddle that
tells you the way to the
treasure.
From a room that knows no
south, follow the rocky trail
north, north, north...
There lies the treasure, 
waiting to be discovered.

Got all of that?
Yep!Uh, again?";"Cette grotte, c'est un vrai
labyrinthe.

Si tu suis mes instructions,
tu devrais trouver le
trésor.
Dans cette grotte il y a des
salles avec des pierres et
d'autres avec des jarres.
Depuis la salle qui ignore
le sud, suis le chemin
rocheux...
Avance trois fois vers le
nord pour percer le secret
du trésor...
Tu as compris?
OuiNon";"Diese Höhle ist wie ein
Labyrinth angelegt.

Wenn du den Anweisungen
folgst, solltest du den
Schatz finden können.
Hier gibt es nur zwei Arten
von Kammern, die mit
Krügen und die mit Felsen.
Folge von einem Raum ohne
Süden dem felsigen Weg
nach Nord, Nord, Nord.
Dort kannst du dann auf
die Schatzsuche gehen!

Hast du das verstanden?
Ja.Nochmal!";
"うーん こう言っちゃなんだが
おまえ 物覚え 悪いんじゃないか？";"I don't know if I should say
this, but your memory isn't
the greatest, is it?";"Dis-moi, tu serais pas un
peu long à la détente, toi?";"Dein Erinnerungsvermögen
ist ja nicht gerade das
beste...";
"お宝は おまえにやる
もし 友の事がわかったら
教えてくれ・・・";"You can have the treasure.
I don't mind.

Just let me know if you 
find out anything about my
friend, OK?";"Si tu trouves le trésor,
il est à toi.

Dis-moi si tu apprends
quelque chose à propos
de mon ami...";"Der Schatz gehört dir,
wenn du ihn findest. Bitte
suche nach meinem Freund!";
"ふう・・・ 
どうすっかな

ん おまえ ハイラル国の
新米兵士か・・・

なんで こんなところに
兵士が来てるんだ？
あなたこそべつに";"Hmm, what to do...


Oh, you're a recruit from
Hyrule Castle, aren't you?

What are you doing out 
here?
Me?Nothing";"Hmm... Que faire?


Tiens, tu es un apprenti
soldat du royaume
d'Hyrule....
Qu'est-ce que tu viens
faire ici?
Et toi?Rien...";"Hmmm, also...


Du bist doch ein Rekrut
aus Hyrule-Stadt!

Was hast du denn hier zu
suchen?
Und du?Nichts.";
"まあ！ だらしない


ハイラルの兵士とは
思えないですね・・・
";"Oh, what a pathetic story.


It's hard to believe that
someone this cowardly is a
guard from Hyrule Castle.";"Quelle honte!


Il n'a vraiment pas l'air
d'un soldat d'Hyrule...";"Wie ungezogen!


Man glaubt kaum, dass du
zur Wache gehörst, bei
deinem Betragen!";
"別にか・・・
そうだよな オレみたいな
ちっぽけな人間 興味ないよな
友を見捨てるなんてよぉ
ひどいやつさ・・・";"Nothing, eh?


You must have a pretty
low opinion of me if you
think I'll be fooled by that.
But I guess I deserve it...


After all, abandoning a
friend is about as low as a
person can get.";"Oui... Qui s'intéresserait
à un minable comme moi?

J'ai abandonné mon ami,
je suis lamentable...";"Nichts?
Naja, was solltest du dich
auch für mich interessieren!
Ich, der ich meinen Freund
im Stich gelassen habe...";
"あ・・ オレか・・
そうだな・・・
";"Oh, me. Right...";"Ah... Moi?... Eh bien...";"Also, ich...
Nun...";
"あいつ あれから 行方が
わからなくなって・・・

どうしてるかな・・・？";"What could have happened
to my buddy?

I guess he's still lost...";"Depuis, je n'ai plus de
nouvelles de lui...

Qu'est-il devenu?";"Ich habe ihn verloren,
zurückgelassen...

Wie es ihm nur ergangen
sein mag?";
"言うぞ！ ちゃんと
メモしておけよ

この洞窟には つぼと岩の
２つの部屋しか存在しない

岩の部屋を 北に3度続ける
事が出来れば・・・

その部屋で お宝を発掘
することができるであろう・・・

わかったか？
うんもういっかい";"Listen, you'd better just
take notes.

From a room that knows no
south, follow the rocky trail
north, north, north...
There lies the treasure, 
waiting to be discovered.

Got all of that?
YepUh, again?";"Ecoute bien et prends des
notes!

Dans cette grotte il y a des
salles avec des pierres et
d'autres avec des jarres.
Depuis la salle qui ignore
le sud, suis le chemin
rocheux...
Avance trois fois vers le
nord pour percer le secret
du trésor...
Tu as compris?
OuiNon";"Hör zu! Schreib es dir am
besten irgendwo auf!

Hier gibt es nur zwei Arten
von Kammern, die mit
Krügen und die mit Felsen.
Folge von einem Raum ohne
Süden dem felsigen Weg
nach Nord, Nord, Nord.
Dort kannst du dann auf
die Schatzsuche gehen!

Hast du das verstanden?
Ja.Nochmal!";
"・・・実はよ 
少し前に ここに 友といっしょに
黄金のお宝を発掘しにきたんだ
あっ！・・・
これ城の兵にはナイショな？

友といっしょに この奥の途中まで
いったんだが・・・魔物やら
でかい植物やら 出てきてよ
オレ こわくなっちまって
自分だけ にげちまったんだ";"...Well, I came here with
my friend to find a golden
treasure.
Oh, uh... I'd appreciate it
if you wouldn't spread that
to the other soliders, OK?
We got halfway in, but then
some big plant monster
showed up!
I was terrified, so I
high-tailed it out of there 
on my own.";"... En fait, il y a quelque
temps, avec un ami, on est
venus chercher un trésor.
Ah!... Mais ne le répète
pas aux autres gardes du
château!
On avait réussi à avancer
assez loin dans cette
grotte...
Mais on s'est fait attaquer
par des monstres et des
plantes géantes.
J'ai pris peur et je me suis
enfui tout seul.";"Nun, ich...
Ich habe den sagenhaften
Schatz hier gesucht.
Mit einem Kollegen...
Aber das bleibt unter uns,
in Ordnung?
Wir sind zusammen in die
Höhle gegangen. Aber... Die
Monster, die riesige Blume!
Ich habe Angst bekommen
und bin alleine geflüchtet!";
