Japanese;US English;French;German;
"もう思いつかない。";"Don't have any better ideas.";"Don't have any better ideas.";"Don't have any better ideas.";
"がんばって！";"Do your best!";"Do your best!";"Do your best!";
"ゴール！";"Goal!";"Goal!";"Goal!";
"…フォフォフォ…。
また　迷いこんで
きおったわい…！
…おまえとは　よく
会う　気がするよ…
ククククク…！";"Ho ho ho...
So, back again, are you?
I've a feeling I'll be
seeing a lot of you...
Hee hee hee...";"Hou hou hou...
Te revoilà, hein?
Et mon petit doigt me dit
que je te verrai encore...
Hi hi hi...";"Ho ho...
Kennen wir uns nicht?
Ich glaube, wir werden
uns noch sehr oft hier
treffen... Hi hi hi...";
"おや、また会ったねぇ…。
ククク…！";"So, we meet again!
Hee hee!";"Encore toi!
Hi hi!";"So treffen wir uns wieder!
Hi hi hi!";
"お～や、
また会ったねぇ…。
ククククク…！！";"Oh ho ho!
We meet again...
Hee hee hee!";"Hou hou hou!
Te revoilà...
Hi hi hi!";"Oh ho!
Schön dich wiederzusehen...
Hi hi hi!";
"リンク！
ここがハイラルの北、
デスマウンテンです。
山頂を目指しましょう！";"Link! We're in northern
Hyrule, at the base of
Death Mountain.
Head for the peak!";"Link! Nous sommes au nord
d'Hyrule, au pied de la
Montagne de la Mort.
Gravis la montagne!";"Link! Wir sind im Norden
von Hyrule. Am Fuße des
Todesbergs.
Komm zur Bergspitze!";
"おたずね者　　　　
見つけたら　通報せよ！";"Warning! If you see either
 ,  ,  , or ,
report back at once!";"Attention! Quiconque voit
 ,  ,   ou 
est tenu de le signaler!";"Achtung! Wer
 ,  ,  oder  sieht,
soll sofort Meldung machen!";
"来たれ　冒険者！
冒険のコツ　伝授します
すぐソコ　↑";"Adventurers, assemble!
Head  for some helpful
adventuring tips.";"Aventuriers, rassemblement!
En avant  pour des astuces
très utiles!";"Abenteurer aufgepasst!
Geht nach , für hilfreiche
Abenteurer-Tipps.";
"なんのつもりかねぇ。
でっかい　バクダンなんぞ
投げて　ぶっそうじゃのう。
あんな　バクダンを　使われては
勝ち目など　ないねぇ。
命が　おしければ
とっとと　逃げるがいいさ。
…それにしても　お前さん
バクダンを　投げとるやつと
うりふたつ　じゃないか。
いったい　どういう
ことだろうねえ…？
ヒヒヒヒヒヒ…！";"What's he trying to prove?
Tossing giant bombs around
like that is dangerous.
I didn't even know they
made bombs that big! Those
just can't be good.
If you value your life,
you'd better flee when
you see one of those things.
Oh, and one more thing:
you and that mad bomber
are like two peas in a pod.
You're practically identical
twins! What's up with that?
HEHEHEHEHEHEHE!";"Qu'est-ce qu'il cherche à
prouver? C'est dangereux de
lancer des Bombes!
En plus, je ne savais même
pas que ça existait,
des bombes aussi énormes!
Cela ne me dit rien
qui vaille!
Tu tiens à la vie?
Alors fuis dès
que tu en aperçois une.
Au fait, tu sais quoi?
Toi et ce lanceur de bombes,
vous vous ressemblez
comme deux gouttes d'eau.
Des jumeaux! Troublant...
HI HI HI HI!";"Was will er beweisen?
Es ist gefährlich, mit so
großen Bomben zu werfen!
Dass es solche Bomben
überhaupt gibt! Die sind
ja furchtbar!!!
Wenn dir dein Leben lieb
ist, dann verschwinde beim
Anblick einer Nova-Bombe!
Ach, und noch etwas:
Du und dieser Bombenwerfer
seht euch verdammt ähnlich.
Ihr könntet praktisch
Zwillinge sein! Interessant!
HEHEHEHEHEHEHE!";
"あんな　バクダンを　使われては
勝ち目など　ないねぇ。
命が　おしければ
とっとと　逃げるがいいさ。
…それにしても　お前さん
バクダンを　投げとるやつと
うりふたつ　じゃないか。
いったい　どういう
ことだろうねえ…？
ヒヒヒヒヒヒ…！";"I didn't even know they
made bombs that big! Those
just can't be good.
If you value your life,
you'd better flee.
Oh, and one more thing:
you and that mad bomber
are like two peas in a pod.
You're practically identical
twins! What's up with that?
HEHEHEHEHEHEHE!";"En plus, je ne savais même
pas que ça existait,
des bombes aussi énormes!
Cela ne me dit rien
qui vaille!
Tu tiens à la vie?
Alors fuis dès
que tu en aperçois une.
Au fait, tu sais quoi?
Toi et ce lanceur de Bombes,
vous vous ressemblez
comme deux gouttes d'eau.
Des jumeaux! Troublant...
HI HI HI HI!";"Dass es solche Bomben
überhaupt gibt! Die sind
ja furchtbar!!!
Wenn dir dein Leben lieb
ist, dann verschwinde beim
Anblick einer Nova-Bombe!
Ach, und noch etwas:
Du und dieser Bombenwerfer
seht euch verdammt ähnlich.
Ihr könntet praktisch
Zwillinge sein! Was geht da?
HEHEHEHEHEHEHE!";
"金がなくても　矢は　うてる。
…　…　…。
という　古くからの
言い伝えが　あるが、
あたりまえよのう…！";"I sell arrows. I know what
you're thinking. There's
not much money in arrows.
... ... ...
But what else can I do?
I can't give up on a
family tradition!";"Je vends des flèches.
Je sais, c'est pas
très lucratif...
... ... ...
Mais je n'ai pas le choix.
Je ne peux pas renoncer à
une tradition familiale!";"Ich verkaufe Pfeile. Ja, ich
weiß, was du denkst. Das
zahlt sich nicht aus.
... ... ...
Aber ich habe keine Wahl!
Das macht unsere Familie
seit Generationen!";
"ああっ…！
闇の鏡が…　何者かに
うばわれているわ！
あれは、持つ者の　
悪しき心を　うつし出し
魔物を　生み出します。
暗黒の…　黒い力をもった魔物…
…シャドウリンク！！
あれは闇の鏡から
生まれ出たのでは？！
それが　鏡をうばった者の
くわだてならば…。
…なんということでしょう。
はやく　取り戻さなければ
世界中が　シャドウリンクで
あふれかえってしまいます。
あの鏡は　だれが…
どこに…？！";"Ah!
The Dark Mirror... Someone's
stolen the Dark Mirror!
That mirror reveals the
wickedness within a person
and brings it to life.
It's an item of terrible,
dark power. No good can
come from this.
Shadow Link!!
Could he be your evil
reflection, cast by the
Dark Mirror?
If that were the motive of
the mirror's thief...
This is disastrous!
If we don't get the mirror
back, Hyrule will be overrun
with evil Shadow Links.
The mirror... Who took it?
And where?";"Ah!
Le Miroir obscur... Quelqu'un
a dérobé le Miroir obscur!
Ce miroir révèle le côté
maléfique des gens pour
mieux l'exploiter.
Cet objet est source d'un
pouvoir aussi étendu
que maléfique.
Il n'y a rien de bon
à en tirer.
Le Link noir!
Pourrait-il être ton
reflet maléfique, renvoyé
par le Miroir obscur?
Voilà qui expliquerait les
motifs du vol...
Ce serait un désastre!
Si nous ne retrouvons pas
ce Miroir, les Link noirs vont
débarquer à Hyrule.
Le Miroir... Qui l'a dérobé?
Où est-il?";"Oh nein!
Der Schattenspiegel...
Er wurde gestohlen!
Dieser Spiegel erweckt das
Böse in einem Menschen
zum Leben.
Dieses Objekt der
dunklen Mächte erschafft
unheilvolle Kreaturen!
Der Schatten-Link!!!
Ist er vielleicht die
Reflektion deines bösen
Selbst?
Und wenn der Dieb nun
den Spiegel einsetzt, um...
Das wäre ja furchtbar!
Wenn wir den Spiegel nicht
rechtzeitig finden,
dann wird Hyrule von einer
Armee von Schatten-Links
überrannt!
Der Spiegel... Wer stahl ihn?
Wo wurde er hingebracht?";
"ホッホウ！　　リンク、
このデスマウンテンには
仮面をつけた巨大な鳥がおるぞ！
グフーのやつが　この山を
嵐のようにおそった後、
鳥は　そのすがたを見せよった。
あの仮面をつけた巨大な鳥には、
昔からこの山を守り続ける
ゴロンの民も困っておる。
やつをなんとかして
ゴロンたちを助けてやってくれ！
たのむぞ　リンク！";"Hoo hoo hoo! Link, there's a
colossal bird wearing a mask
living on Death Mountain!
The giant beast appeared
after Vaati stormed the
mountain.
The mountain's guardians of
old--a tribe of Gorons--are
troubled by the bird, too.
I implore you, go and help
the Gorons! They're counting
on you, Link!";"Hou hou hou! Link, un oiseau
gigantesque portant
un masque niche dans
la Montagne de la Mort!
Cette bête énorme surgit
lorsque Vaati fondit
sur la montagne.
Le volatile importune les
gardiens de la montagne,
une tribu de Gorons.
Je t'en conjure, va aider
les Gorons! Ils comptent
sur toi, Link!";"Schu-Huu! Link, auf dem
Todesberg lebt ein riesiger
Vogel mit einer Maske!
Diese unheimliche Kreatur
erschien, nachdem Vaati den
Berg gestürmt hatte.
Die Bestie bedrängt sogar
die ehrwürdigen Wächter
des Berges:
Das Volk der Goronen!
Ich bitte dich, hilf den
Goronen! Sie zählen auf
dich, Link!";
"その　ツボには
油が　たんまり　入ってるから
気をつけるコロ！
うっかり　割っちゃえば
大バクハツ！
何かを　燃やしたい　時は
うまく　つかえ…って
とーちゃんに　言われてるコロ。";"That pot's filled with a lot
of oil, so be careful!
If you accidentally break
it... KABOOM!
My dad says you're welcome
to use it if you need to
burn stuff.";"Ce pot est plein d'huile,
attention!
Si tu le casses...
BOUM!
Mon père m'a dit qu'on
pouvait l'utiliser pour
brûler des choses.";"Dieser Krug ist bis
zum Rand mit Öl gefüllt.
Also sei vorsichtig!
Wenn du ihn zerbrichst,
dann... KRAWUMM!
Mein Vater sagt, du darfst
gerne einen nehmen, wenn du
etwas anzünden willst.";
"デスマウンテンの　てっぺんには
変な鳥が　いるコロ！
毎日　山のまわりを
とびまわってて　怖いコロ…。
特に　あの仮面が
おっかないコロ！
とーちゃんに　たのんだら
あの仮面、たたきわって
くれるコロかなぁ…。";"There's been this weird
bird up on top of Death
Mountain a lot lately.
It flies around the peak
day after day. It's huge!
And that mask it's wearing!
I've never seen anything
so scary!
If you go ask my dad, I'm
sure he'd crack that mask
for you.";"De plus en plus, on surprend
l'oiseau à planer au-dessus
de la Montagne de la Mort...
Il plane... sans relâche!
Qu'est-ce qu'il est gros!
Et ce masque!
Je n'ai jamais rien vu de
plus effrayant!
Il est certain que mon
père pourrait le casser,
si tu lui demandais.";"Seit kurzem sichtet man
oft diesen Riesenvogel oben
auf dem Todesberg.
Tag für Tag kreist er
um die Bergspitze.
Er ist gigantisch!
Und diese Maske, die er
trägt, ist echt gruselig!
Aber geh doch zu meinem
Vater!
Bestimmt würde er die Maske
für dich zerschmettern.";
"";"";"";"";
"～ゴロンの　おっかない鳥
やっつけ大作戦　ひみつメモ～
１　エラそうに　飛んでたら
バクダンぶつけて
たたきおとして…
２　これ以上は　思いつかんコロ！
後は　たのんだコロ！";"-Secret Goron Plan for
Crushing the Giant Bird-
1. Hit the bird with bombs
and knock it out of the sky.
2. Think something up quick!
(Because I have no clue
what to do next!)";"-Astuce goron pour
tuer l'oiseau géant-
1. Lancer des Bombes sur
l'oiseau pour qu'il
s'écrase.
2. Trouver une idée de génie
(car je n'en ai pas) !";" - Geheimer Goronenplan
gegen Gigantenvogel -
1. Hol den Vogel mit Bomben
vom Himmel.
2. Lass dir was einfallen!
(Ich hab nämlich keinen
Plan, was dann zu tun ist!)";
"巨大な鳥はこのすぐ先じゃ。
ヤツの動きは　素早い。
よく見きわめるのじゃぞ。
わしら鳥の種族は　いつも高い空から
地上を　ながめておるが、
ここは特に見晴らしが　いいのう。
この美しいハイラルを
闇の者なんぞには　わたせんわい。
…　…　…　うむ？
あれはハイラル城…。
お前が闇を打ちはらった
はずじゃが…？
なにかおかしい。
ワシは　ちと見に行ってくるぞ！
お前はこのまま進め！
わがもの顔に飛ぶ　巨鳥を落とし、
炎の塔で　＠女どのを
救い出してこい！
また会おう！";"The giant bird is just up 
ahead. It is quite fast, so
keep your eyes open.
We bird folk like to fly high
and gaze down on the land.
This area is especially nice.
We'll not let beautiful
Hyrule be taken by these
dark beings.
...Hm?
That's Hyrule Castle...
I believe you've driven off
its darkness already, but...
Something's not right.
I shall go and investigate!
You keep going!
Get rid of that bird and
save the maiden from
the Tower of Flames!
We shall meet again!";"L'oiseau géant plane là, 
juste devant. Il est rapide,
alors sois sur tes gardes!
Nous, les oiseaux, nous
aimons voler en altitude et
observer la Terre de haut.
Cet endroit est magnifique.
Nous ne laisserons pas
Hyrule dans les serres de
ces monstres.
... Pardon?
C'est le Château d'Hyrule...
Tu l'as libéré
des Ténèbres...
Mais quelque chose ne
tourne pas rond. Je vais
voir! Continue comme ça.
Débarrasse-nous de cet
oiseau...
Et libère la jeune fille de
la Tour des Flammes!
Nos chemins se recroiseront!";"Der Riesenvogel ist gleich
da vorne. Er fliegt ziemlich
schnell, sieh dich vor.
Wir Vogelvolk betrachten
die Welt gerne von oben.
Besonders diese Gegend!
Lassen wir nicht zu, dass
solche Bestien das schöne
Hyrule zerstören!
...Hm?
Das ist Schloss Hyrule...
Du hast die Finsternis
bereits vertrieben, doch...
Irgendetwas stimmt nicht.
Ich werde das untersuchen!
Geh du weiter!
Besiege den Vogel und
rette die Maid im
Turm des Feuers!
Wir sehen uns wieder!";
"この炎の中を　あなたは…。
…その勇気、まるで
ハイラル騎士団（きしだん）の
ようですわ！
…ハイラル騎士団…！
彼らは　ゆうかんで忠実、
使命のためには　命をもおしまない
ハイラル王国の　ほこりです。
このハイラルには
天空への道を開く神器、
４つの宝玉があります。
ハイラル王家は　宝玉を守る役目を、
しんらい厚い　騎士団に
代々　あたえてきました。
しかし　その彼らが
このハイラルの危機に
すがたを見せないなんて…。
いったい　何が…？
むなさわぎが　おさまりません…。
…　…　…。
………？！
ケポラ・ゲボラ殿が？
…そうですか。
では　ハイラル城へ
向かわなければ！
すぐに　まいりましょう！
城を　取り戻すのです！";"You passed through the
flames to rescue me!
Such bravery. You're just
like the Knights of Hyrule!
You've heard of the Knights
of Hyrule, of course!
They're the pride of the
kingdom! They would lay
down their lives for honor!
In Hyrule, four sacred jewels
can open the path to the
Realm of the Heavens.
The safety of these jewels
has for ages been entrusted
to the Knights of Hyrule.
And yet, in these dark times,
the knights are nowhere
to be seen...
I cannot hide my fears.
... ... ...
Pardon? Master Kaepora
Gaebora, you say?
Is that so... Well then, we
must go to Hyrule Castle!
We must liberate the castle!";"Tu as bravé les
flammes pour me sauver!
Tu es aussi courageux que
les Chevaliers d'Hyrule!
Tu as entendu parler des
Chevaliers d'Hyrule?
C'est la fierté du royaume!
Ils mourraient pour sauver
l'honneur, s'il le fallait!
Hyrule abrite quatre Joyaux
sacrés, sésames de
la Contrée des Cieux.
Depuis la nuit des temps,
les Chevaliers d'Hyrule
veillent sur eux.
Pourtant, alors que le
malheur s'abat sur nous,
les Chevaliers ont disparu...
Je ne puis taire ma crainte.
... ... ...
Pardon?
Maître Kaepora Gaebora?
Ah bon... Eh bien, allons
au Château d'Hyrule, alors!
Il faut libérer le château!";"Du hast die Flammen
überwunden, um mich zu
retten! Dein Mut ist groß!
Du bist wirklich ein
Ritter von Hyrule!
Du hast natürlich schon von
den Rittern von Hyrule
gehört, nicht wahr?
Sie sind der Stolz des
Königreichs! Sie würden ihr
Leben geben für die Ehre!
Vier heilige Juwelen öffnen
den Weg zu jenem Ort
Hyrules, der da heißt:
Himmelsgefilde.
Die Wacht über diese vier
Juwelen oblag seit jeher
den Rittern von Hyrule.
Doch ausgerechnet in die-
sen Zeiten der Dunkelheit
sind die Ritter wie vom
Erdboden verschluckt...
Ich muss sagen, das
beunruhigt mich zutiefst.
... ... ...
Wie bitte? Meister Kepora
Gebora sagst du?
Ist dem so... Nun, dann auf
zum Schloss Hyrule!
Wir müssen das Schloss
befreien!";
"リンク、ハイラル城は　以前より
さらに強い　暗黒の力で
おおわれています！
くれぐれも　用心してください…！";"Link! Hyrule Castle fights
an even greater darkness
than before!";"Link! le Château d'Hyrule est
en proie à des Ténèbres
encore plus noires qu'avant!";"Link! Schloss Hyrule
umhüllt noch größere
Finsternis als zuvor!";
"気をつけろよ、リンク。
ここらは　毒の沼地じゃ！
グフー！　ヤツが
ここで　あばれたのじゃ！
沼を毒にまでしおって…。
それまで　たんとおった
生き物たちは　みんなどこかへ
いなくなってしもうた。
今では　みょうな怪物と
来るものを　まどわす
浮き草だらけじゃ。
お前が魔物を倒し、
ハイラルが　もとの美しい世界に
戻ることを　ワシは信じておるぞ。
こんなところで　毒沼にはまり
おぼれ死ぬでないぞ、
リンクよ！";"Be cautious, Link.
A poison swamp lies ahead!
Vaati! I curse the name!
His actions have poisoned
the very land!
The creatures who lived here
have long since fled the
effects of his foul presence.
Now all that remains are
monsters and floating weeds
that lead travelers astray.
I believe you can vanquish
this foulness and return
Hyrule to its former beauty.
Link, my friend, take care
not to get lost and drown
in this poisonous swamp!";"Sois prudent, Link.
Il y a un marais empoisonné,
pas loin!
Vaati! Maudit soit-il!
Il a empoisonné tout le pays!
Les créatures qui vivaient ici
ont fui depuis longtemps les
terribles effets de sa folie.
Seuls demeurent les algues
et les monstres qui égarent
les voyageurs.
Je crois que tu peux vaincre
cette folie et rendre à Hyrule
sa beauté d'antan.
Link, mon ami, ne te perds
pas... Et ne sombre pas
dans le marais!";"Sei vorsichtig, Link!
Der Sumpf, der vor dir liegt,
ist voller giftiger Dämpfe!
Vaati! Verflucht seist du!
Seine dunkle Seele hat das
ganze Land vergiftet!
Die Wesen, die hier lebten,
flohen längst vor seiner
verruchten Präsenz.
Jetzt gibt es hier nur noch
Monster und Sumpflöcher!
Auf ihnen schwimmt oft
Blattwerk, das Reisende
vom Weg abbringt.
Ich weiß, du wirst dieses
Gift auslöschen und Hyrule
wieder erstrahlen lassen.
Link, mein Freund, pass auf
dich auf und versinke nicht
im Sumpf der Verwesung!";
"ホッホウ！
リンク！　ハイラル城が
大変じゃぞ！
打ちはらったはずの　闇が
再び　よみがえっておった。
城のどこかで息をひそめ
機会を　うかがっておった闇の者が
残っていたと　いうことか…。
じゃが、強い闇の者がおるなら、
やはり　＠女どののひとりも
そこに　とらわれておるはず！
この上の　＠女どのに
はやく伝えるのじゃ！　ハイラル城を
あのままにしてはいかん！";"Hoo hoot!
Link! Danger has struck
Hyrule Castle once again!
The darkness we thought
vanquished has returned.
Perhaps some dark agent
remained hidden, waiting for
the right moment to strike.
Where there is great evil,
though, there may also be
an imprisoned shrine maiden.
You must tell the maiden
of this tower! We cannot
abandon Hyrule Castle!";"Hou hou hou! Link!
Le malheur s'abat à nouveau
sur le Château d'Hyrule!
Les Ténèbres que nous
pensions disparues
sont de retour.
Il restait peut-être quelques
ombres, qui attendaient
leur revanche.
La où réside la mal, il y a
souvent une jeune fille 
prisonnière quelque part.
Va prévenir la jeune fille de
la tour! Nous ne pouvons
pas abandonner le château!";"Schu-Huu! Link!
Schloss Hyrule schwebt
erneut in Gefahr!
Das Böse, das besiegt
schien, ist zurückgekehrt!
Vielleicht blieb einer der
Diener des Bösen verborgen!
Lauernd, um im richtigen
Augenblick zuzuschlagen!
Doch wo das Böse besonders
stark ist, befindet sich meist
eine Maid in ihrem Käfig.
Befreie die Maid dieses
Turmes! Wir dürfen Schloss
Hyrule nicht im Stich lassen!";
"オイ、ぼーず！
墓に　イタズラすんでねぇど！";"Hey, boy! None of your
mischief near that tomb!";"Hé, toi! Ne t'approche
pas de cette tombe!";"He, Kleiner! Bleib weg
von dem Grab!";
"最近　ぶっそうなんだ。
あまり　外を　ウロつくのは　よせ。
ちょうど　ぼーず　みたいな感じの
影が　悪さしやがったおかげで
オバケどもも　こうふんしてやがる。
これじゃあ　このオラ、
墓守りのダンペイさんと　いえど
お手上げってもんよ…。
それにしても　あいつらの
よろこびよう…　まるで
闇の世界にでも　なったみたいだ。
…知ってるか？　ぼーず。
ハイラルの　ある場所に、大昔
闇の一族を　封印した
鏡があるらしいぜ…。
ある場所ってのはな、
どうやら　光の森らしい。
その　光の森が、ちかごろ
雲におおわれて　真っ暗なんだ。
まるで　暗黒の森だぜ。
ありゃあ　絶対、
なにかあるに　ちげえねぇ…。";"It's dangerous out.
You shouldn't be
wandering around.
This shadowy guy has been
stirring up trouble lately.
Actually, he looks like you!
My name's Dampe. I'm
supposed to be the caretaker
at this here graveyard.
Only I can't take care
of a single thing right
now. I'm helpless!!!
These creatures, they are so
pleased. They treat our
world like their new home.
Listen up, boys.
Legends speak of a mirror
in which a dark tribe was
sealed away long ago.
I understand it's supposed
to be hidden now somewhere
in the Forest of Light.
The forest's been covered by
pitch-black clouds recently.
It's a Forest of Dark now.
Yep, no mistake about it...
Something bad's a-brewin'
there.";"C'est dangereux, par ici.
Tu ne devrais pas traîner
comme ça.
Ce type ténébreux sème le
trouble, ces derniers temps.
Tiens! Il te ressemble!
Je m'appelle Dampe. Je suis
chargé de l'entretien
du cimetière.
Mais en ce moment, je
n'arrive à rien.
Je suis désespéré!!!
Ces créatures font comme
chez elles, ni plus
ni moins!
Ecoute, mon garçon!
Une légende parle d'un
miroir dans lequel une
tribu serait enfermée.
Je crois qu'il est caché
quelque part dans
la Forêt de Lumière.
Il y a peu, des nuages noirs
se sont mis à planer
au-dessus de la forêt.
C'est devenu
la Forêt des Ténèbres.
Il n'y a pas de doute...
C'est de mauvais augure.";"Draußen ist es gefährlich.
Du solltest da nicht
spazieren gehen.
Dieser Schattenjunge hat
hier Schabernak getrieben.
He, der sah aus wie du!
Ich heiße Boris. Ich soll
mich eigentlich um diesen
Friedhof kümmern.
Aber im Moment sind mir
die Hände gebunden! Ich bin
vollkommen hilflos!!!
Diese Kreaturen fühlen sich
offenbar sehr wohl. Tun so,
als wären sie hier zu Hause!
Hört zu, Jungs.
Kennt ihr die Legende vom
Spiegel, in den einst ein
böses Volk verbannt wurde?
Dieser Spiegel soll angeb-
lich im Wald des Lichts
versteckt worden sein.
Doch über dem Wald hängen
nun pechschwarze Wolken!
Er ist jetzt wohl eher
der Wald der Schatten!
Ja, so ist es...
Da braut sich etwas ganz
Übles zusammen.";
"オラぁ　ばあさんの
はかまいりに　来たんだあ。
そしたら、ばあさんが　やって来て
じいさんの　はかまいりに　来たって
いうんだあ。
どっちが　オバケか
わかんなく　なっただあ。";"I came to visit my
departed wife's grave.
Then she showed up,
saying she came to
visit MY grave...
I wish someone would tell
me which one of us is the
ghost and which isn't!";"Je suis venu me recueillir
sur la tombe
de mon épouse.
Soudain, elle m'est apparue.
Elle m'a dit qu'elle voulait
se recueillir sur MA tombe!
J'aimerais qu'on me dise
qui de nous deux est
le fantôme!";"Ich wollte das Grab meiner
Frau besuchen.
Aber dann erschien sie
und behauptete, sie besuche
MEIN Grab!
Wer von uns beiden ist
denn jetzt der Geist?!?";
"きもだめしに　来たんだけど
いつのまにか　友達が
いなくなっちゃったの。
さっき　オバケさんが、みんなは
先に　帰ったって　教えて
くれたけど…みんな、ひどいよ…。
ううう、こわいよう…。";"I came here on a dare, but
all my friends vanished,
and now I'm all alone.
A ghost told me that they'd
all gone home. How mean!
Oooh... I'm scared...";"J'ai pris mon courage à deux
mains pour venir ici...
Tous mes amis ont disparu,
je me retrouve seul.
Un fantôme m'a dit qu'ils
étaient rentrés chez eux!
Ce n'est pas gentil!
Oooh... J'ai peur...";"Es war nur eine Mutprobe,
aber dann verschwanden all
meine Freunde!
Ein Geist sagte, sie gingen
nach Hause. Wie gemein!
Ooh... Ich hab Angst...";
"リンク！
今は勇者である　あなたの手元に
あるのが　一番安心です。
神殿で　闇の鏡を手に入れて下さい。
そして、ゼルダ姫を助け出すまで
あなたが　あずかっていて下さい。
お願いします。
今　たよれるのは
あなただけなのです…。
…まずは森へ　おもむきましょう。";"Link! The mirror is a danger
in anyone's hands but yours.
No one else can be trusted.
Retrieve the Dark Mirror
from the palace, and keep it
until Princess Zelda is safe.
Please. You are the only one
we can depend on...
First, let us proceed to the
forest. ";"Link! Le Miroir est un danger
entre toutes les mains, sauf
les tiennes.
Tu es le seul à qui
on peut faire confiance.
Récupère le Miroir obscur,
dans le palais.
Garde-le jusqu'à ce que la
Princesse Zelda soit sauvée.
Je t'en prie. Tu es notre
seule chance...
D'abord, rendons-nous
dans la forêt. ";"Link! In den falschen Händen
ist der Spiegel eine Gefahr
für alle!
Nur dir können
wir vertrauen!
Hole den Schattenspiegel
aus dem Palast und bewahre
ihn auf,
bis Prinzessin Zelda
in Sicherheit ist.
Bitte! Du bist der Einzige,
der es schaffen kann!
Doch zunächst auf in den
Wald.";
"リンク…　ありがとう。
あなたは私の…
いえ、私だけではありません。
ハイラルの希望、ともしびですわ。
…あ、あなたが持っているのは
青の宝玉ですか？！
どうして　それを…。
…そうですか。
あのハイラル騎士団が…
では　宝玉もいまは…。
…　…　…。
…リンク、私たちにできるのは
ひとつひとつを　乗りこえながら
光を信じ　歩んでいくことだけです。
私の森も、今は光を失い
暗黒に包まれてしまって
いるのでしょうか。
リンク、森へ行って下さいませんか？
あの森なら　何か手がかりが
見つかるかも知れません。
それに森の奥深くにある神殿。
そこには闇の鏡が
まつられています。
はるか昔　闇の一族が
ハイラルに　せめこんだ時、
その者らを　鏡の中に閉じこめました。
そして、闇の一族と　あの鏡が
この世界と　関わりを持たぬよう
その神殿へ　かくしたのです。
心悪しき者の手へと、
闇の鏡が　わたるような事は、
決して　あってはなりません。";"Link... Thank you. You carry
my hopes with you...as well
as all of Hyrule's.
Wait... Is that the blue
royal jewel you carry?
How did you come by it?
Is that so?
The Knights of Hyrule... So
even the jewels are now...
Link, all we can do is put
our faith in the light and
press on,
overcoming each obstacle
that confronts us.
My forest has lost its light.
Darkness covers it like a
shroud.
Link, will you go to the
forest? Perhaps you will find
some clues there.
In the heart of the forest is
a temple. The Dark Mirror
can be found there.
Long ago, a dark tribe
invaded Hyrule.
They were defeated and
imprisoned within the mirror.
The tribe's mirror prison was
then secreted away and
hidden in the forest temple
to sever its connection to
this world.
That Dark Mirror must never
fall into the hands of those
with evil hearts.";"Link... Merci. Tous mes
espoirs et ceux d'Hyrule
reposent sur toi.
Attends... C'est le Joyau
royal bleu que tu portes?
Où l'as-tu trouvé?
Hein?
Les Chevaliers d'Hyrule...
Alors même les Joyaux...
Link, la seule chose à faire,
c'est de croire en la Lumière
et de franchir les obsctacles
au plus vite.
Ma forêt a perdu sa Lumière.
Elle gémit dans les Ténèbres.
Link, et si tu te rendais
dans la forêt? Tu trouverais
peut-être des indices.
Le cœur de la forêt abrite
un temple. Tu y trouveras
le Miroir obscur.
Autrefois, une sombre tribu
envahit Hyrule.
Elle fut vaincue et
emprisonnée dans ce Miroir.
Puis le Miroir a été déplacé
dans le temple de la forêt
pour le couper du monde.
Le Miroir obscur ne doit pas
tomber entre les mains
des cœurs de pierre.";"Link... Danke! Du bist meine
letzte Hoffnung... und die
von ganz Hyrule.
Warte... Ist dies das blaue
Königsjuwel? Wie ist es in
deinen Besitz gekommen?
Ist dem so? Die Ritter
von Hyrule... Also selbst die
Juwelen sind jetzt...
Link, wir müssen Vertrauen
in die Macht des Lichts
haben und darin, dass
wir alle Hindernisse, die vor
uns liegen, überwinden.
Das Licht verließ meinen
Wald. Finsternis bedeckt
ihn wie ein Leichentuch.
Link, gehst du in den Wald?
Vielleicht findest du dort
ein paar Antworten.
Im Herzen des Waldes ist ein
Tempel. Dort findest du den
Schattenspiegel.
In grauer Vorzeit wurde
Hyrule von einem Stamm des
Bösen heimgesucht.
Doch er wurde besiegt und
in den Spiegel verbannt.
Den Spiegel, das Gefängnis
dieses Stammes, verbarg
man im Wald-Tempel,
auf dass er für immer aus
dieser Welt verschwinde.
Der Schattenspiegel darf
niemals in die Hände eines
bösen Herzens geraten!";
