Japanese;US English;French;German;
"勇猛なる若者よ";"O brave youth...";"Ô jeune homme au cœur vaillant...";"Tapferer Jüngling...";
"私は、神々の命により　ハイラルを守りし
光の四精霊の一人　ラトアーヌ";"I am one of four light spirits that
protect Hyrule at the behest of the
gods. I am Ordona.";"Je suis Latouane, l'un des quatre
Esprits de la lumière que les
déesses ont désignés pour
apporter la lumière en Hyrule.";"Ich bin Latoan... einer der vier
Lichtgeister, die im Auftrag der
Götter Hyrule mit Licht erfüllen...";
"貴方が倒した　あの黒き魔物は
我ら光の精霊の持つ力を狙う　影の者達";"The black beast you slayed was a
shadow being. It had come to seize
the power of light I wield.";"Cette créature que tu as terrassée
est un agent du Crépuscule venu
dérober la lumière dont nous
sommes les gardiens.";"Dieser Dämon, den du gerade nie-
dergerungen hast, gehört zu den
Wesen der Finsternis. Sie rauben
uns Lichtgeistern unsere Kraft...";
"既に、ハイラルの光の精霊達は
あの影の魔物によって、光を奪われ";"My brethren in Hyrule have already
had their light stolen by these
fell beasts.";"Déjà, mes compagnons en Hyrule
ont vu leur lumière dérobée par
ces viles créatures des ombres.";"Schon ist alles Licht aus Hyrule
gewichen, da es von den Kreaturen
der Dunkelheit geraubt wurde...";
"その者達が守りし地は、黄昏の黒雲が覆う
影の領域に、成り果ててしまいました";"The entire kingdom has been
reduced to a netherworld ruled
by the cursed powers of darkness.";"Les terres qu'ils protégeaient sont
enveloppées de sombres nuages et
transformées en un monde des
ombres.";"Die Gebiete, welche die anderen
Lichtgeister schützten, haben sich
in eine Schattenwelt verwandelt,
von Düsternis geplagt...";
"このままでは、ハイラルだけでなく
光の世界は全て、影を支配する王の手に
堕ちてしまうでしょう";"The blight will not stop with Hyrule.
Before long, the entire world of
light will fall into the hands of the
king who rules the twilight.";"Si le mal reste inopposé, ce n'est
point Hyrule, mais le monde de la
lumière tout entier qui tombera aux
mains du roi des ombres.";"Wenn niemand diese Wesen auf-
hält, wird bald nicht nur Hyrule,
sondern die ganze Welt des Lichts
von Schatten verhüllt sein!";
"この光の世界を　影の王の手から救うには
失われた光を取り戻すしかありません

それは、影の領域に捕らわれている　３人の
光の精霊達を　蘇らせることを意味します";"To save this land from the king of
twilight, the lost light must be
recovered.

The three light spirits who have
lost their light must be revived.";"Le seul espoir de sauver le monde
de l'avidité du roi des ombres est
de reprendre les lumières dont
nous avons été dépouillés.
Pour cela, les trois Esprits étouffés
par le monde des ombres doivent
être ravivés.";"Um die Welt vor dem König
der Finsternis zu retten, musst
du ihr das verlorene Licht
zurückbringen!
Und das heißt, du musst die drei
Lichtgeister erretten, die im
Schattenreich gefangen sind. ";
"そして・・・
それが　できるのは

貴方だけです";"There is but one who can revive
them and redeem this land...



You.";"Un seul être a le pouvoir de mener
à bien cette mission...


Toi.";"Du musst wissen...
Der Einzige, der
dazu in der Lage ist...

...bist du!";
"影の領域に触れた者は
元の姿に戻ることはできません";"Those transformed by twilight
usually cannot recover their
original forms...";"Ceux qui ont été touchés par
le monde des ombres perdent
à jamais jusqu'à leur nature.";"Wer einmal im Schattenreich war,
der verliert seine ursprüngliche
Gestalt unwiderruflich...";
"しかし、貴方を獣に変えた
フィローネの森に赴き、
光の精霊を蘇らせることができたなら・・・";"Unless... If you were to return to
Faron Woods where you were
first transformed... If you were to
revive the light spirit...";"Mais si tu allais dans la forêt de
Firone, là où tu fus changé en
loup... Si tu ravivais la lumière
de l'Esprit qui y réside...";"...aber wenn du dich in Tiergestalt
zum Wald von Phirone begibst und
den Lichtgeist dort befreist...";
"その姿は、光の精霊の持つ力によって
元に戻るでしょう・・・";"There, by the power of the light
spirit, you may find the means to
regain your other state of being...";"Alors, le pouvoir de cet Esprit de
la lumière saurait certainement te
ramener à ta forme originelle...";"...dann wird der Lichtgeist seine
Macht zurückgewinnen und dir
deine ursprüngliche Gestalt
wiedergeben können.";
"貴方はまだ、気づいていないのです
自分の持つ本当の力に・・・";"You still have not discovered your
true power...";"Tu n'es pas encore conscient de
l'étendue des pouvoirs que tu
possèdes...";"Dir selbst ist sie wohl noch nicht
bewusst... die unglaubliche Kraft,
die dir gegeben ist.";
"ふ～ん
コレがオマエの世界で使っている武器か？";"Hmm! So these are the weapons
you use in your world?";"Hmm... 
C'est ce que les gens de ton monde
utilisent comme armes?";"Puh... Mit so etwas kämpft
man also in deiner Welt?";
"コレで、奴らが倒せるのかね～？";"You really think this thing can slay
the creatures of twilight?";"Tu crois vraiment que ça aura un
effet quelconque sur les créatures
que tu vas affronter?";"Ob man mit so was diese
Biester wohl erledigen kann?";
"・・・悪いけど、コレいらないから
オマエが使いな！";"...Well, I won't use these, but I'll
hang on to them for you!";"... Je crois que je vais me passer
de ces... trucs, mais je te les mets
de côté, ne t'inquiète pas!";"Wirklich, tut mir Leid... Aber dieses
Zeug ist nichts für mich! Wenn du
willst, kannst du es ja verwenden!";
"まあ、とにかく　約束は約束だからな
信用して手伝ってやるよ！";"All right, a promise is a promise...
I trust you enough to help.";"Enfin, une promesse est une
promesse... Je vais te faire
confiance et t'aider!";"Wie auch immer... ein Versprechen
ist ein Versprechen. Also werde
ich dir helfen. Und vielleicht ver-
traue ich dir sogar...";
"そのかわり、オマエには
ある物を集めてもらうからな";"In exchange for my help, though,
I need you to gather some things
for me.";"En échange, il y a certains objets
que je désire récupérer et tu vas
m'aider à les trouver.";"Dafür wirst du mir aber auch
einen Gefallen tun. Ich möchte,
dass du etwas für mich findest.";
"な～に、今は教えないけど
簡単なことだよ";"Look, I can't tell you all the details
now, but it'll be easy, trust me...";"Je ne te dirai rien pour le moment,
mais ce sera facile, promis...";"Was? Das sage ich dir später!
Es ist aber ganz leicht...";
"ほら、それより　聞こえないか？
光を奪われた精霊の嘆きの声が・・・";"But enough about that. Do you hear
that noise? It's the lamentation of
the spirit that had its light stolen...";"Oublie ça et écoute. Tu entends ces
lamentations? C'est la voix de
l'Esprit qui s'est fait voler
sa lumière...";"Aber was viel wichtiger ist...
Hörst du auch die Stimme des
Lichtgeistes? Der Arme...
So ganz allein im Dunklen!";
"さ～て、一体　どこにいるのでしょう？
クククッ";"Where in the world could it be?
Eee hee!";"Je me demande bien où tu vas
pouvoir le trouver...
Ksh ksh ksh!";"Wo mag er nur sein...?
Hehehe!";
"早く　探しに行かないと
オマエの世界がどうなっても知らないぞ";"Better get going, don't you think?
Don't blame me for your world's
fate if you don't hurry up and find
that light!";"Tu ferais mieux de te mettre à sa
recherche, tu ne crois pas? Je 
n'ose penser à ce qu'il adviendra
de ton monde sans sa lumière!";"Will nicht wissen, was mit deiner
Welt passiert, wenn wir ihn nicht
schnell finden...!";
"ほら、休んでないで
とっとと　ススメ～！";"Come on! Snap to it!";"Allez! En route!";"Also los, nicht so träge! Wir wollen
diesen Geist schließlich finden!";
"あ～あ、居心地　良かったのに・・・
まったく、光の世界のナニがいいんだろ？";"Aww, but it was so nice here in the
twilight... What's so great about a
world of light, anyway?";"Pff, on était si bien... Je me
demande ce que les gens trouvent
à un monde de lumière...";"Dabei war alles so schön dunkel...
Was ist nur so toll an dieser so
genannten Welt des Lichts?";
"クククッ
またな！";"Eee hee hee! See you later!";"Ksh ksh ksh! A plus!";"Hehehe...
Man sieht sich!";
"私の名は　フィローネ";"My name is Faron.";"Mon nom est Firone.";"Mein Name ist Phirone.";
"ハイラルに集う光の精霊の一人であり
神々の命により、この森を守りし者";"I am one of the spirits of light who
dwell in Hyrule. By the order of the
gods, I protect this forest.";"Je suis l'un des Esprits de la
lumière d'Hyrule. Les déesses
m'ont confié la tâche de veiller
sur cette forêt.";"Ich bin einer der Lichtgeister, die
über Hyrule wachen. Die Götter
vertrauten mir diesen Wald an...";
"勇猛なる若者よ";"O brave youth...";"Jeune homme au cœur vaillant...";"Auserwählter!";
"光の人々が魂となる影の領域トワイライトで
貴方は、青き目の獣と化した・・・";"In the land covered in twilight,
where people roam as spirits, you
were transformed into a blue-eyed
beast...";"Ton passage dans le Crépuscule, ce
monde des ombres où les êtres de
lumière ne sont qu'ectoplasmes, t'a
changé en bête aux yeux saphir...";"Du bist das Tier, dessen scharfes
Auge die Finsternis durchdringt,
während andere nur tastend dieses
Schattenreich erforschen...";
"しかし、それは兆し・・・";"That was a sign...";"Mais ceci est un signe...";"Du fragst dich, was diese
Verwandlung bedeutet...?";
"貴方の中に眠る、神に選ばれし者の力の
目覚めの兆しだったのです";"It was a sign that the powers of the
chosen one rest within you...and
that they are awakening.";"Le signe que le pouvoir de l'élu
des déesses sommeillait en toi...
et qu'il s'est réveillé.";"Sie ist ein Zeichen der
erwachenden Kraft. Der Kraft, die
dir, dem Auserwählten, innewohnt.";
"見るのです　目覚めし　その姿を";"Look at your awakened form...";"Contemple la forme que prend ce
pouvoir qui s'est éveillé...";"Betrachte nun deine
neue Gestalt!";
"身にまといし　緑の衣は
かつて神に選ばれし古の勇者のもの・・・";"The green tunic that is your garb
once belonged to the ancient hero
chosen by the gods...";"La tunique verte qui t'habille
appartenait autrefois au héros
choisi par les déesses dans ces
temps anciens...";"Dein grünes Gewand trug einst der
von den Göttern auserwählte Held.";
"それが、貴方の持つ本当の力";"His power is yours. His is the true
power that slept within you.";"Tu es le dépositaire de ce pouvoir
qui n'était qu'endormi...";"Trage es als ein äußeres
Zeichen deiner inneren Kraft.";
"貴方の名は　[Link]";"Your name is [Link].";"Ton nom est [Link].";"Dein Name ist [Link]!";
"神に選ばれし勇者";"You are the hero chosen by the
gods.";"Tu es le héros élu des déesses.";"Du bist der von den Göttern
auserwählte Held!";
"勇者　[Link]よ";"Brave [Link]...";"[Link] le sauveur.";"Nun, [Link],
auserwählter Held!";
"この森の奥にある神殿には、
黒き力が眠っています";"A dark power rests in the temple
deep within these woods.";"Une puissance obscure se cache,
endormie, dans le temple au fin
fond de la forêt.";"Eine dunkle Macht verbirgt sich
im Schrein, tief im Inneren
dieses Waldes.";
"それは、古代に我ら光の精霊によって
封じ込められた禁断の力";"It is a forbidden power. Long, long
ago, I and the other spirits of light
locked it away.";"Nous, Esprits de la lumière, avons
jadis scellé ce pouvoir interdit.";"Diese verbotene Macht wurde von
uns Lichtgeistern vor Äonen mit
einem Bannfluch an den Schrein
gebunden.";
"本来それは、光の世界の者達が
決して触れてはならぬもの・・・";"Because of its nature, it is a power
that should never be touched by
any who dwell in the light.";"Sa nature fait qu'il ne devrait
jamais être touché par une
créature du monde de la
lumière...";"Nie sollte ein Wesen des Lichts
mit der dunklen Macht in Berührung
kommen... Das war unser Wille.";
"しかし、影の王より　この世界を救うには
その力が　必要となるでしょう・・・";"But this world weeps beneath a
mantle of shadows, and so there
is no choice... You must match the
power of the king of shadows.";"Malheureusement, ce pouvoir est
nécessaire pour délivrer le
monde du joug du roi des ombres...";"Jetzt jedoch scheint sie nötig,
um die Welt vor den Wesen der
Finsternis zu retten.";
"もし、貴方が　その力を望むなら
この森の奥にある神殿に向かいなさい";"If you would seek this forbidden
power, then proceed to the temple
in the forest depths.";"Si tu désires faire tien ce pouvoir,
il te faut traverser la forêt et
pénétrer dans le temple qui est
caché en son sein.";"Willst du diese Macht nutzen, so
begib dich zu dem Schrein, den
du im Inneren dieses Waldes
finden wirst...";
"くそー！
あの黒い怪物どもが見当たらねえ・・・";"Cripes! I don't see those black
brutes anywhere...";"Zut et zut!
Je n'vois plus ces sales monstres
noirs nulle part!";"Verdammt!
Wo verstecken sich
diese Biester nur...?";
"きっと、どこかに隠れて
獲物が出てくるのを、待ってやがるんだ！";"They've gotta be hidin' somewhere,
waitin' for their helpless little prey
to come out! Then they'll FEAST!";"A tous les coups, ils sont planqués
quelqu'part et ils attendent qu'on
sorte comme des pigeons!";"Ich wette, sie sitzen da
draußen und warten nur
auf ihre Beute...";
"怖いよ！　牧師様";"Shaman! I'm scared!";"Mon père! J'ai peur!";"Leonard! Ich hab Angst!";
"ここにいれば大丈夫だから・・・
安心しなさい！";"We are safe as long as we remain in
here, child. Be at ease.";"Nous n'avons rien à craindre tant
que nous sommes ici.
Ne t'inquiète pas.";"Sei ganz ruhig... Solange
wir hier sind, wird uns
nichts geschehen!";
"・・・そいつは、どうかな？";"Oh yeah? I wonder if the monsters
out there agree with you...";"... Il faudrait aussi le dire aux
autres affreux dehors!";"Ob die da draußen das
auch wissen...?";
"奴らは、俺の爆弾を食らっても
平気だったんだぜ・・・！
この教会だって、いつまで持つか・・・？";"They sure didn't seem impressed
by my bombs! How long do you
think we can hold this sanctuary
against beasts that strong, huh?";"Ils ont encaissé mes bombes
sans broncher!
Alors je sais pas combien d'temps
elle va tenir, cette église...";"Nicht mal meine Bomben konnten
den Biestern da draußen etwas an-
haben. Wie lange werden uns da
wohl diese Mauern beschützen?!?";
"それに、奴らに襲われたら最後さ・・・";"Once they attack, it's OVER!";"Ils attaquent, et couic, c'est la fin!";"Wenn die uns angreifen,
sind wir erledigt!";
"雑貨屋の婆さんが１匹の怪物に襲われて、
村の連中が助けに入ったそうだ・・・";"Remember the lady from the
general store? Just one of those
things attacked her, and a whole
gang from town went to save her!";"Quand la vieille de la boutique s'est
fait attaquer par une de ces
bestioles, tout le village est allé
à son secours...";"Die Alte aus dem Krämerladen...
Eins von diesen Dingern hat sie
angegriffen, und als die Leute
kamen, um ihr zu helfen...";
"そしたら、そこには既に婆さんの姿はなく
いたのは、同じ怪物が２匹・・・";"And what happened? She was
already gone, and there were
TWO monsters waitin'!";"Et là, non seulement y'avait plus de
vieille, mais il y avait une bestiole
de plus pour les accueillir...";"...war die Alte nicht mehr da!
Stattdessen waren da plötzlich
zwei von diesen Monstern!";
"・・・ってことは、奴らに襲われたら
俺達も、きっと・・・";"...You connectin' the dots? That
means that if we get attacked by
them, then we'll be...";"... Ce qui veut dire que s'ils nous
attaquent, nous allons nous aussi
être...";"Das heißt, wenn die uns angreifen,
werden auch wir...";
"バーンズ！！";"BARNES!";"CRAHME!";"Burns!!!";
"ベス・・・大丈夫？";"Beth? Are you OK?";"Anaïs... Ça va?";"Betty? Alles klar?";
"と、とにかく牧師様、ここも危険だ！
どこか隠れる所は　ないのかよ？";"Look, Renado... All I mean to say
is that it's risky here, too! Ain't
you got some place we can hide?";"De... de toute manière, mon père,
ici, c'est pas plus sûr qu'ailleurs!
Y'a pas un endroit où on pourrait
s'planquer?";"J-Jedenfalls... sind wir hier auch
nicht sicher. Gibt es nicht irgendwo
ein besseres Versteck?";
"・・・地下室が・・・あります";"There is...a cellar.";"... Il y a peut-être... le sous-sol.";"Unter dem Heiligtum befinden
sich die... Katakomben.";
"なんだよ、地下室なんてあったのかよ？
で、何処から入るんだ・・・？";"WHAAT?! You've got a CELLAR?!
Where's the entrance, man?";"Quoi quoi quoi!? Un sous-sol?
Vite, comment on y entre?";"Was? Das sagst du erst jetzt,
dass es hier Katakomben gibt?
Und wie kommt man da rein...?";
"地下の入り口は　この部屋の燭台に
火を全て灯せば開くようになっています…";"The entrance to the cellar is
designed to open when all of the
candles have been lit...";"Pour ouvrir l'entrée du sous-sol,
il faut allumer tous les candélabres
dans cette pièce...";"Der Zugang öffnet sich, sobald
sämtliche Kandelaber in diesem
Raum entzündet werden.";
"だったら、話は早え～じゃね～か！
早く、そこへ隠れようぜ！";"Why didn't you say so sooner?
C'mon, now! Let's hide in there!";"Mais pourquoi tu l'as pas dit plus
tôt!? Pas d'temps à perdre! On s'y
planque!";"Was gibt's dann noch zu reden?
Los, wir verstecken uns!";
"・・・それが・・・ダメなんです";"...I...would not do that.";"... Je ne pense pas que cela soit...
une bonne idée.";"Nein... Tu's nicht!";
"私が、父の代わりに地下室を見に行ったら
外の怪物と同じような蟲がいて・・・";"When Father instructed me to
secure the cellar, I saw insects
like the beasts outside...";"J'y suis descendue à la demande de
mon père et j'y ai découvert des
insectes semblables aux créatures
qui se trouvent dehors...";"Als ich in den Katakomben
nachgesehen habe, waren dort die
gleichen Insekten wie draußen...";
"泣かないで・・・大丈夫だよ！！";"Don't cry, Beth! It'll be OK!";"Ne pleure pas... Tout ira bien!";"Wein doch nicht... Alles wird gut!";
"[Link]が
助けに来てるから！";"[Link] is coming to save
us all!";"[Link] va venir à notre
secours!";"[Link] wird ganz sicher
kommen und uns retten!";
"・・・そんな気がするんだ！";"...I can feel it!";"... J'en suis sûr!";"Das spüre ich irgendwie...";
"せっかく調子が乗ってきたのにな～！
影の結晶石のこと、忘れんなよ！";"Aw, I was just starting to have fun!
Don't forget that Fused Shadow!";"On commençait tout juste à
s'amuser! N'oublie pas le
cristal d'ombre!";"Dabei fing die Sache gerade an, mir
Spaß zu machen... Vergiss mir bloß
nicht, dass wir auch den Schatten-
kristall finden müssen!";
"クククッ
またな！";"Eee hee hee! See you later!";"Ksh ksh ksh! A plus!";"Hehehe...
Man sieht sich!";
"我が名は　オルディン


ハイラルに集う光の精霊の一人であり
この地を守りし者なり

神に選ばれし勇者よ";"My name is Eldin.



I am one of the light spirits of
Hyrule. I am the spirit that guards
these lands.

O great hero chosen by the gods...";"Je suis Ordinn.



Je suis l'Esprit de la lumière chargé
de veiller sur ces lieux.


Ô toi, être élu...";"Mein Name ist Eldin!



Ich bin der Lichtgeist, der
über dieses Gebiet wacht.


Auserwählter!";
"汝　求めし　黒き力は
誇り高き山の種族の聖地にあり";"The dark power you seek lies in
the sacred grounds of the proud
mountain dwellers.";"Le sombre pouvoir dont tu es en
quête réside dans le sanctuaire
de la fière tribu des montagnes.";"Die dunkle Macht, nach der du
suchst, befindet sich im Heiligtum
eines stolzen Bergvolkes!";
"されど、そこは既に
邪悪なる地と化している";"But already those grounds have
been defiled, draped in shadow
and seeded with evil.";"Mais ces terres sacrées ont déjà
été profanées et leur nature avilie
par les ombres.";"Dieses Heiligtum allerdings
hat sich in einen Ort des Bösen
verwandelt...";
"汝、その地に赴き
聖なる力をもって　洗い清めよ";"You must go to those sacred
grounds and cleanse them.";"Tu dois guider tes pas jusqu'à
ces terres et les purifier.";"Begib dich dorthin und säubere
den heiligen Ort von allem, was
ihn jetzt noch entweiht!";
"[Link]？！";"[Link]?!";"[Link]?!";"[Link]?!?";
"なっ！　やっぱりオイラの言ったとおり
[Link]が助けに来ただろ？！";"Ha ha ha! See, Beth?! I TOLD you
[Link] would save us!";"Alors! Je vous l'avais bien dit
que [Link] viendrait
nous secourir!";"Na? Ich hab's doch gleich gesagt!
[Link] ist gekommen, um
uns zu retten!";
"・・・貴方が
この子達が言っていた　トアルの・・・";"...You are the one from Ordon
whom these children spoke of?";"... Vous êtes la personne dont ces
enfants m'ont parlé?";"Du bist also der junge Mann aus
Ordon, von dem diese Kinder mir
berichtet haben...?";
"失礼、私は　この村で牧師をしている
レナード";"We are well met. I am Renado,
shaman of this town.";"Veuillez m'excuser, je ne me suis
pas présenté. Je me nomme
Reynald et je suis le prêtre
de ce village.";"Entschuldige, ich habe mich gar
nicht vorgestellt... Mein Name ist
Leonard. Ich bin der Priester
dieses Ortes.";
"そして、これは・・・";"And this...";"Et ici...";"Und dies...";
"娘のルダです";"This is my daughter, Luda.";"Voici ma fille, Louda.";"...ist meine Tochter Luana.";
"怪物に連れ去られて　ほうり出されたところを
牧師様が　助けてくれたんだ";"The beasts took us and left us to
die...but Mr. Renado found us.";"Les monstres nous ont enlevés! Et
après, ils nous ont emmenés
quelque part! C'est le père Reynald
qui nous a secourus!";"Die Monster hatten uns entführt,
und dann haben sie uns irgendwo
ausgesetzt! Aber der Priester hat
uns den Weg hierher gezeigt!";
"最初は、まさかあの遠いラトアーヌの
トアル村から来たとは信じられなくて・・・";"At first, I couldn't believe they had
come from so distant a place as the
Ordona Province...";"Je dois avouer que je fus d'abord
sceptique quand ces enfants m'ont
dit venir du village de Toal, en
Latouane...";"Ich konnte erst gar nicht glauben,
dass die Kinder aus Ordon kommen,
einem Dorf im fernen Latoan... so
weit weg von hier!";
"ボクらも・・・覚えてないんだ
いつの間にか　皆　捕まってて
今まで、その・・・何ていうか・・・まるで";"Yeah, I... We don't remember much.
All of a sudden everyone was
captured, and then...until now...it's
been like...";"Nous non plus... on s'en souvient
pas! En fait, on s'est fait tous
capturer et puis... tout est... genre
tout flou! C'est comme... comme...";"Wir... können uns auch nicht mehr
erinnern! Auf einmal waren wir ge-
fangen... Alles ist so seltsam... Es
ist alles wie...";
"・・・悪夢";"...A nightmare.";"Un cauchemar.";"Wie ein Albtraum!";
"そう！
まるで悪夢の中を　さまよってたような・・・";"Yeah! It was like a terrible dream
and we couldn't wake up...";"C'est ça!
C'est comme si on partageait tous
le même cauchemar...";"Genau! Als hätten wir uns
in einem Albtraum verlaufen!";
"悪夢の中の様・・・か？
確かに　この村も変わってしまいました";"Mmm... Nightmares are everywhere
these days, it seems. This village
has certainly seen its share of
recent hardships...";"Hm, un cauchemar...
Il est vrai que ce village n'est plus
le même et que les changements
furent des plus sinistres.";"Wie... ein Albtraum? Hm... Dieser
Ort hat sich wirklich verändert.";
"黒い怪物が　村を襲うようになり
それまで友好的だった、山に住むゴロン族が
何故か我々を敵視するようになったのです";"The dark beasts attacked, but even
worse was the sudden and
inexplicable change in the
mountain-dwelling Goron tribe.";"En plus des attaques de ces
sombres créatures, la tribu
des Gorons, jusque-là amicale,
nous traite comme des ennemis.";"Schwarze Monster haben das Dorf
angegriffen. Auch die Goronen in
den Bergen sahen uns plötzlich als
ihre Feinde an...";
"そして今では　彼らの鉱山に
我々が足を踏み入れることは許されません";"They had long been our friends,
but suddenly treated us as foes.
Even now they refuse to permit us
entry into their mines.";"Le changement fut soudain et
inattendu. Ils nous interdisent
désormais jusqu'à l'accès de la
montagne où se trouve leur mine.";"Sie erlauben uns immer noch
nicht, auch nur einen Fuß in ihre
Mine zu setzen!";
"私には信じられないのです・・・あの温厚で
誇り高き種族が　あのようになるなんて・・・";"It strains the limits of belief...
To think that such a gentle and
proud tribe could change so
suddenly...";"Je ne peux y croire... Une tribu
aussi fière et au tempérament
aussi doux... Comment ont-ils pu
changer à ce point?";"Ich kann es gar nicht glauben,
dass dieses freundliche und stolze
Volk sich plötzlich so verändert
hat...";
"きっとあの鉱山に、彼らが変わってしまった
何らかの原因が　あるのでしょう・・・";"It makes me wonder if something
in those mines is the cause of this
change...";"Je me demande si cette
transformation n'a pas sa
source au cœur de leur mine...";"Sicher findet sich der Grund dafür
in der Mine!";
"さあ、早く子ども達を連れて
この村から　お逃げなさい";"In any case, you must take these
children and flee this village before
more nightmares descend.";"Peu importe, fuyez vite ce village et
emmenez ces enfants avec vous.";"Nimm auf jeden Fall die Kinder
mit und flieh von diesem Ort!";
"我々は、この村を離れるわけにはいきません
それに、たとえこの身がどうなろうと・・・";"I, of course, cannot leave my village
in such a time. There is no telling
what may happen to us here...";"Quant à nous, nous ne pouvons
abandonner le village. Et cela,
malgré les risques que nous
encourons...";"Wir, die wir hier wohnen, können
das Dorf natürlich nicht verlassen,
egal was geschieht! Schließlich ist
es unsere Heimat...";
"今のゴロン達の心を救ってやれるのは
我々しかいないのですから";"...But it is my job to try to coax the
Gorons back from their recent
change of heart.";"Nous sommes les seuls à pouvoir
sauver les Gorons de l'obscurité
qui semble avoir envahi leurs
cœurs.";"...und unsere Aufgabe wird es
sein, die Goronen von dem Fluch
zu befreien, der auf ihnen lastet!";
"・・・[Link]";"[Link]...";"[Link]...";"[Link]...";
"みんなは・・・？";"Is everyone...OK?";"Est-ce que tout le monde...?";"Und die anderen...?";
"・・・よかった";"...Good.";"... C'est bien.";"Dann ist ja gut...";
"ベス・・・ゴメンネ
突き飛ばしたりして・・・";"Beth... I'm sorry. You know...for
shoving you. Are you mad?";"Anaïs... Pardon... de t'avoir
poussée...";"Betty... Entschuldige...
Ich wollte dich nicht schubsen...";
"ボクね・・・やっと、わかったんだ";"I... I think I finally understand.";"Je... je crois que j'ai enfin compris.";"Ich... habe es jetzt
endlich verstanden.";
"父さんが、[Link]のように
強い男になれ！　って言った意味が・・・";"I understand what my dad meant
when he told me I needed to be
stronger, like you, [Link]...";"J'ai compris ce que voulait dire
mon père quand il me disait de
devenir fort comme toi,
[Link]...";"Papa hat immer gesagt, ich
soll ein starker Mann werden...
So wie du, [Link].";
"それは、力だけじゃなくて
勇気を持つことだって！";"He wasn't talking about strength,
like lifting stuff. He was talking
about being brave...";"Il ne parlait pas que de force
physique, mais aussi de courage...";"Es geht aber nicht nur um
Kraft. Sondern auch um Mut!";
"[Link]が・・・
助けてくれたんでしょ？";"[Link]... You saved me,
didn't you?";"[Link]... C'est toi qui m'as
sauvé, n'est-ce pas?";"[Link]... Du hast mich
gerettet, oder?";
"やっぱり、スゴイや・・・";"You... You can do anything.";"Tu es... tu es vraiment le plus fort.";"Unglaublich...";
"[Link]なら、きっと・・・
鉱山にいるゴロンの人たちを
何とかしてあげられるよね・・・？";"You can do something to help the
Gorons in the mine too, can't you,
[Link]?";"Je suis sûr... que tu pourrais faire
quelque chose pour aider les
Gorons... dans leur mine.";"[Link]... Du könntest
sicher auch den Goronen in
ihrer Mine helfen, oder?";
"勇者　[Link]よ";"Heroic [Link]...";"Ô vaillant [Link]...";"Auserwählter [Link]!";
"ここより北の大平原にある巨大な石橋を
越えた先、精霊ラネールが守りし地に・・・";"North of here, across the plain and
past the great stone bridge, in the
lands guarded by the spirit
Lanayru...";"Traverse le grand pont au bout de
la plaine, au nord. Là se trouvent
les terres que protège l'Esprit de
la lumière Lanelle...";"Das Land im Norden, jenseits der
großen Steinbrücke, wird vom
Lichtgeist Ranelle behütet.";
"汝が探しもとめる者は
いるであろう・・・";"You shall find one who you seek...";"Tu découvriras en ces lieux l'objet
de ta quête...";"Dort wirst du die finden,
die du suchst...";
"[Link]・・・";"[Link]...";"[Link]...";"[Link]...";
"・・・イリア姉ちゃん";"Ilia...";"Iria...";"Was ist mit Ilya?";
"イリア姉ちゃんを助けてあげて！";"You've got to save Ilia!";"Tu dois sauver Iria!";"Du musst Ilya retten!";
"きっと、他の場所に連れて行かれたんだよ！";"Those monsters left me with the
other kids, but they must have
taken her somewhere else!";"Ils ont certainement dû l'emmener
quelque part ailleurs!";"Bestimmt haben die Bösen
sie irgendwohin verschleppt!";
"ボクが頑張れたのは、[Link]と
イリア姉ちゃんがいたからなんだ・・・";"Whenever I thought I couldn't go
on, I would think of you and Ilia
and hold on, [Link]...";"[Link], c'est penser à toi
et à Iria qui m'a permis de tenir
quand mon courage m'abandonnait.";"Ich habe diesen Albtraum
doch nur ausgehalten, weil
ich immer Ilya und dich vor
Augen hatte, [Link].";
"ほら、ボクは・・・もう大丈夫だよ";"See? I... I'm fine now.";"Mais maintenant, je... je n'ai plus
peur. Plus du tout.";"Und jetzt... Jetzt bin ich
wieder in Sicherheit.";
"ねえ、トアル村で
[Link]に言ったこと覚えてる？";"Remember what I told you back in
Ordon, [Link]?";"Tu te souviens de ce que je t'ai dit
quand nous étions encore à Toal,
[Link]?";"Du erinnerst dich doch noch, was
ich dir damals in Ordon gesagt
habe, oder?";
"ボク、[Link]みたいに
なりたいんだ！";"When I grow up, I'm going to be
just like you, [Link]!";"Quand je serai grand, je veux être
comme toi, [Link]!";"Ich möchte einmal so werden
wie du, [Link].";
"だから、もう心配しないで
イリア姉ちゃんを助けてあげて！";"So you don't have to worry about
me anymore! Go help Ilia!";"Alors tu n'as plus besoin de
t'inquiéter pour moi.
Va secourir Iria!";"Mach dir um mich keine
Sorgen mehr. Jetzt musst
du Ilya retten!";
"この子達のことは
私達に任せてください";"Leave the children to me. I will
watch over them, I swear it.";"Vous pouvez vous reposer sur moi.
Je veillerai sur ces enfants.";"Sei beruhigt!
Ich werde auf diese
Kinder Acht geben.";
"だから、貴方は安心して　貴方を必要とする
人々のところへ行ってあげてください";"Do not let their fates trouble you.
Go to those who need you.";"Sachant qu'ils sont en sécurité,
vous pouvez ainsi consacrer toutes
vos forces à secourir ceux qui ont
besoin de vous.";"Du aber solltest zu denen
gehen, die dich jetzt mehr
brauchen als wir!";
