Japanese;UK English;French;German;
"青ジイの　ワンポイントレッスン
レッスン１０

人生の勝者になるには！


レッスン１～９のことを　よく理解し


何事も途中で投げ出さず、文句も言わず、
長時間遊ばず、夜更かしをしない事！";"Sturgeon's One-Point Lessons
Lesson Ten

Becoming the Champion of Life!
Learn all there is to learn in
lessons one through nine...


And no matter what happens...
Do not give up, do not complain,
and do NOT stay up all night playing!";"Petites leçons du Vieil Adhoc

10ème leçon

Accueille toujours avec joie
tout ce que la vie peut t'offrir!


Mets les leçons 1 à 9 en pratique...
Ne te perds pas, ne sois pas impoli,
ne t'amuse pas sans arrêt et ne te
couche pas trop tard!";"Vadder Orcos Lebensweisheiten
Lektion 10


Wer im Leben bestehen will...



...der befolge meine Regeln 1 bis 9 genau!



Niemals mittendrin das Handtuch
werfen! Niemals sich beschweren!
Niemals zu lange spielen und schon
gar nicht die Nacht durchmachen!";
"この島の４つのスイッチを
作動させてはならない

しかもそれらを素早く行ってはならない


わが警告をやぶりし者には
必ずや災いが訪れるであろう
（予言者　Ｓ・Ｗ・ポチット）";"You must activate all four switches on
this island.

And you must activate them all swiftly.


Danger will visit all who fail to heed
my warning.
(The Seer, S.W. Potchit)";"Déclenchez les 4 interrupteurs qui se
trouvent sur cette île.


Et rapidement les uns après
les autres.


Allez à l'encontre de mon avertissement et
vous aurez des problèmes... 
(S.W. Pochit le Prophète)";"Die vier Schalter auf dieser Insel müssen
alle gedrückt werden.


Und das Ganze muss auch noch schnell
vonstatten gehen.


Wer meine Warnung nicht befolgt,
dem ist schlimmes Unglück gewiss!

(Prophet S. W. Pochet) ";
"キケン！
バクレツの実を刺激しないで！！";"Danger!

Do not attack the explosive fruit!";"Attention!
Ne pas attaquer les Choux Péteurs!!!";"Vorsicht!
Die explosiven Pflanzen nicht reizen!";
"キミにもわかる
たのしいフィギュアの見方

[AnalogUp] [AnalogDown] で上下に移動
[AnalogLeft] [AnalogRight] で周りを回る

[C] の上下で拡大＆縮小
[A] で説明

やめる時は[B] 
単純、単純！";"Viewing your favorite figurines:
[AnalogUp] [AnalogDown]  Move Up and Down
[AnalogLeft] [AnalogRight]  Rotate

[C]  Zoom by Tilting Up and Down
[A]  View Explanation
[B]  Quit
Talk about simple!";"Tout savoir pour pouvoir admirer nos
Figurines dans les meilleures conditions...


Utilisez [AnalogUp] [AnalogDown]  pour monter ou descendre,
[AnalogLeft] [AnalogRight]  pour faire tourner la Figurine,
[C]  pour zoomer ou élargir votre angle
et [A]  pour avoir des explications.
Appuyez sur [B]  pour arrêter.
C'est très simple!";"So wirst auch du zu einem
Figuren-Experten!


Mit Hilfe von [AnalogUp] [AnalogDown]  rauf/runter.
Mit Hilfe von [AnalogLeft] [AnalogRight]  drehen.


Mit Hilfe von [C]  vergrößern oder verkleinern,
indem du nach oben oder unten drückst.
Durch Drücken von [A]  Erklärung aufrufen.

Drücke [B] , um abzubrechen.
Einfach, oder?";
"闇の底で待つ　我が僕の持つ剣は
我を指し示す　道しるべなり";"The sword-hilts of my servants who lurk
deep in the darkness shall be the
guideposts that point to me.";"Au fond des Ténèbres, suis les indications
des Sabres de mes serviteurs
et tu me trouveras.";"Die Schwerter, die meine Knechte in
den Tiefen der Dunkelheit schwingen,
weisen den Weg zu mir.";
"🡅 
この先　妖精の泉跡
ご利益　金運アップ";"🡅  Fairy Fountain Site Ahead
Increase your fortune!";"🡅 
Tout droit:
Ex-Fontaine des Fées

Venez donc remplir
votre Bourse...";"🡅 
Zur Feen-Quellen-Ruine

Das Glück des Wohlstands
sei mit dir!";
"🡅 
北の妖精島へは
ココより、北へ　北へ進む";"🡅 
The way to the Northern Fairy Isle
is to the north.

Increase your fortune!";"🡅 
Maintenez votre cap vers le Nord,
toujours vers le Nord, pour atteindre
l'Ilot Septentrional des Fées.";"🡅 
Zum Nördlichen Feen-Cordial
von hier aus nach Norden und
noch mal nach Norden.";
"🡅 
北の妖精島へは
ココより、北へ進む";"🡅 
The way to the Northern Fairy Isle
is to the north.";"🡅 
L'Ilot Septentrional des Fées se
trouve plus au Nord.";"🡅 
Zum Nördlichen Feen-Cordial
von hier aus nach Norden.";
"生ある者よ
６つの燭台をともし、海底に沈み
今も闇をさまよい続ける船の魂をみちびけ";"To the living:
Light the six torches and dive down to the
sea floor.

Guide the lost spirit of the boat that
forever wanders in darkness.";"O, être comblé du don de vie! Allume
6 Flambeaux pour rendre son âme à ce
navire qui un jour sombra au fond des
mers et erre depuis dans les ténèbres. ";"Lebender!
Entzünde die sechs Fackeln und
führe die Seele des durch die Dunkelheit
irrenden Schiffes ans Licht!";
"魔獣の迷宮

奥深い闇の底に
汝　求めし黄金のかけら眠る";"The Savage Labyrinth



Deep in the never-ending darkness, the way
to the Golden Shard you seek awaits.";"Crypte Magique

Au plus profond des Ténèbres,
cherche le Fragment d'Or que tu convoites.";"Verwunschener Irrgarten


Jener, der du den goldenen Splitter suchst.
Eine Karte zu ihm ruht in den
tiefsten Tiefen der Finsternis.";
"🡅 
親子島へは
ココより、西へ進む";"🡅 
Head west from here to reach
Mother & Child Isle.";"🡅 
Pour vous diriger vers l'Ile Géminée,
poursuivez votre route vers l'Ouest.";"🡅 
Zur Mutter und Kind-Insel
von hier aus nach Westen.";
"🡅 
竜の島へは
ココより、東へ進む";"🡅 
To reach Dragon Roost Island,
head east from here.";"🡅 
Pour vous diriger vers l'Ile du Dragon,
poursuivez votre route vers l'Est.";"🡅 
Nach Drakonia
von hier aus nach Osten.";
"🡅 
西の妖精島へは
ココより、西へ進む";"🡅 
To reach Western Fairy Isle, head
west from here.";"🡅 
Pour vous diriger vers l'Ilot Occidental
des Fées, poursuivez votre route vers
l'Ouest.";"🡅 
Zum Westlichen Feen-Cordial
von hier aus nach Westen.";
"🡅 
東の妖精島へは
ココより、東へ進む";"🡅 
To reach Eastern Fairy Isle, head
east from here.";"🡅 
Pour vous diriger vers l'Ilot Oriental des
Fées, poursuivez votre route vers l'Est.";"🡅 
Zum Östlichen Feen-Cordial
von hier aus nach Osten.";
"🡅 
バクダン島へは
ココより、南へ進む";"🡅 
To reach Bomb Island, head
south from here.";"🡅 
Pour vous diriger vers l'Ile de la Bombe,
poursuivez votre route vers le Sud.";"🡅 
Zur Isla Bomba
von hier aus nach Süden.";
"🡅 
トゲの妖精島へは
ココより、北へ進む";"🡅 
To reach Thorned Fairy Isle, head
north from here.";"🡅 
Pour vous diriger vers l'Ilot Epineux des
Fées, poursuivez votre route vers le Nord.";"🡅 
Zum Dornarm Feen-Cordial
von hier aus nach Norden.";
"🡅 
南の妖精島へは
ココより、東へ進む";"🡅 
To reach Southern Fairy Island, head
east from here.";"🡅 
Pour vous diriger vers l'Ilot Méridional des
Fées, poursuivez votre route vers l'Est.";"🡅 
Zum Südlichen Feen-Cordial
von hier aus nach Osten.";
"ニヤトの森のクスリ屋🡅 ";"Hollo's Forest Potion Shop🡅 ";"Chez Dichopsis
Pharmacie de la Forêt🡅 ";"Payenus' Waldapotheke🡅 ";
"幸せのスローガン
思い切り息を吸って、大きな声で読むこと！

幸せは　世界各地にかくれてる
だからさがしに行きましょう

最初の１つは　プレゼント


２０の幸せで執事に会える


４０の幸せで　勇者のまなざし
マァ　なんとうれしいことでしょう
私もあなたも　幸せ～　幸せ～";"Words of Joy
Breathe deep and read it loud and proud!


Joy is hidden in all the places of the world.
You must widen your eyes and search for it.


The first joy you find earns you a present.



With 20, you become a joy steward.



With 40, you'll have the look of a hero.
Aren't all of these things joyous?
Me, you... We'll all be full of joy!";"Slogan du Bonheur
Prenez votre respiration et lisez ce slogan
à voix haute!

Partout dans le monde se cache le Bonheur.
Il ne tient qu'à nous de le cueillir.


Mon premier est un cadeau.



Mon vingtième un majordome.



Mon quarantième la vue du Héros.
Quel beau cadeau que le Bonheur!";"Der Weg zum Glück!

Hol erst mal tief Luft und dann lies
die folgenden Zeilen laut vor!
Das Glück verbirgt sich überall auf der
Welt, drum mach dich voller Zuversicht
und Elan auf die Suche!

Das erste Stück vom Glück
ist ein Geschenk!


Das zwanzigste Stück vom Glück
und dir wird vom Verwalter Einlass
gewährt!

Das vierzigste Stück vom Glück und
du hast die Augen eines Helden!
Ist das nicht großartig?
Möge das Glück mit uns sein!";
"あちゃ～！　剣があんなところに・・・
ごめん、ごめん　当たりどころが悪かったね

フフフ、ずいぶん驚いた顔してるね";"Your sword landed all the way up there?
Shoot! I'm sorry! I apologize! I guess my aim
was off by a little bit.

Heh heh... The look on your face... Priceless!";"Aïe! Sans ton épée, dans un endroit pareil...
Euh... pardon, mal visé!
Mais ne fais pas cette tête-là...";"Oh nein! Dein Schwert...!
Tut mir Leid, da haben wir
wohl etwas daneben gezielt.

Hahaha, du schaust aber
auch dumm aus der Wäsche!";
"あ～モウ、何してるんだい！


あんな警戒厳重なとこを
そんな無防備なカッコウで歩いてたら

見つかっちまうの　あたりまえだろ？


ああいう時は　まわりに
身を隠してくれるようなモノがないか
よく探してみるんだよ！";"Come on! What are you doing?!



If you start wandering around a place as
well-guarded as that without any means of
defense, you're bound to get caught!

At the very least, you should see if there's
anything nearby that you can use to hide
yourself with! Think stealth!

See what you can find around there, and be
quick about it! Time is short!";"Hé, mais que fais-tu?
Crois-tu qu'il soit prudent de te
promener à découvert, dans un endroit
si dangereux?
Tu vas te faire prendre, c'est sûr!
Il faudrait que tu trouves 
dans quoi te cacher...
Cherche bien autour de toi!";"Hey! Bist du noch ganz bei Trost?!



Wenn du an einem streng bewachten Ort
wie diesem so unbedarft und vor allem
unbewaffnet umherspazierst

brauchst du dich nicht zu wundern,
wenn du geschnappt wirst!


Sieh dich lieber mal um, ob du
nicht etwas findest, mit dem du dich 
vor wachsamen Blicken verstecken kannst!";
"アンタ、一生そこにいるつもりかい？


そんなボロイ牢屋
よく探せば、ムリして通れるぐらいの穴が
開いてても、不思議じゃないだろ？";"Are you planning on spending the rest of
your life in there?!


Look around! I'd be surprised if a run-down
cell like that didn't have a hole or two that
you could use to worm your way out!";"Et tu vas rester là longtemps?...
Il doit bien y avoir une issue, 
si étroite soit-elle,
dans cette prison! Non?";"Willst du da drin eigentlich
auf deinen Lebensabend warten?


Diese alte Zelle ist bröckeliger als ein
Marmorkuchen. Wäre doch gelacht, wenn du
da nicht irgendwo ein Loch zum Durch-
schlüpfen findest, oder? Los, sieh dich um!";
"はは～ん、わかったよ　[Link]


妹の捕まっている塔の上に行くには
塔の真下の部屋を探したってダメなんだ！

しかも、そこに続く道は
建物の裏にあるのさ！

わかるかい？";"Ah-hah! I've got it, [Link]!



In order to reach the top of the tower where
your sister's being held, you'll have to find
the room right below the tower. The path to
the tower begins in the rear of that room!
You got that?";"Aaaaah... Je sais, [Link]!



Pour accéder à la tour où est
emprisonnée ta sœur, tu vas devoir
chercher la pièce qui se trouve
juste en dessous...
Et le chemin qui y mène se trouve derrière
l'édifice!
Tu comprends?";"Haha! Jetzt hab ich's, [Link]!



Rauf auf den Turm, wo sie deine Schwester
gefangen halten, kommst du von da aus
nicht. Selbst wenn du zu dem Raum
direkt unterhalb gelangst!
Der Weg, der nach oben führt, liegt nämlich
auf der Rückseite des Gebäudes!


Alles klar?";
"あの塔を照らすサーチライトは　くせ者だね


こうなりゃ、サーチライトを何とかするしか
方法はないか・・・・

あのサーチライトのある塔に上がれる場所が
きっとどこかにあるはずだよ

探してみるんだね";"Those searchlights are a real pain, huh?



You're going to have to deal with them
somehow, I'm afraid...


There's got to be a way to get up to where
those searchlights are. Look around and see
what you can find, OK?";"Les gros projecteurs qui éclairent cet
édifice ne te facilitent pas la tâche...
Et si tu faisais quelque chose pour que
ces projecteurs cessent de te gêner?
Il doit y avoir un moyen d'atteindre le
haut des tours où se trouvent ces lumières!
Cherche bien!";"Die Suchscheinwerfer auf dem Turm da
sind ganz schön lästig, was?


Das Beste wäre wohl, die Suchscheinwerfer
irgendwie auszuschalten...


Es gibt bestimmt irgendwo einen Aufgang zu
diesem Turm mit den Suchscheinwerfern.


Also Augen auf und geflissentlich suchen!";
"[Link]　よく聞きな


そこのハシゴを登ったところには
サーチライトを動かしている
バケモノがいるよ！
そいつを倒せば　サーチライトを
止めることができるかもしれないね

でも、アンタ　丸腰だったよね
使えるのは盾だけか・・・

私だったら、バケモノの攻撃を盾でかわして
落とした武器を[A] で頂いちまうとこだけど

アンタなら　どうする？";"Listen up, [Link]...
There's a monster running the searchlight
up there!

If you can slay the monster, then just
maybe it'll shut the searchlight down.


Oh...but you're unarmed, aren't you?
All you have is a shield... 


If I were you, I'd try to use my shield to
deflect the monster's blows and see if I
could make it drop its weapon. If you did
that, you could pick up its weapon with [A] .
...But that's just me. What'll you do?";"[Link], écoute bien!



En haut de cette échelle se trouve un
monstre qui actionne les projecteurs.
Si tu parvenais à te débarrasser de lui, tu
pourrais sans doute éteindre la lumière.
Le problème, c'est que tu n'as pas d'arme:
tu ne peux te servir que de ton Bouclier...


Si j'étais toi, je me protégerais de l'attaque
du monstre avec mon Bouclier en appuyant
sur [L]  et [R]  simultanément pour faire
tomber son arme, que je ramasserais avec
[A] ! Mais c'est à toi de voir...";"[Link]! Hör mir gut zu!



Wenn du die Leiter raufkletterst,
erwartet dich da oben der Unhold,
der diese Suchscheinwerfer bedient!

Wenn du ihn bezwingst, hältst du damit
vielleicht die Scheinwerfer an.


Dummerweise bist du unbewaffnet.
Außer deinem Schild hast du nichts,
um dich ihm zu stellen...

Also, an deiner Stelle würde ich mit meinem
Schild den Angriff dieses Schurken abweh-
ren und wenn er seine Waffe verliert, diese
schnell durch Drücken von [A]  aufheben!
Na ja, mal sehen, wie du dich behauptest!";
"どうしたんだい？
妹の捕まっている場所は
もうすぐだっていうのに・・・
この先の塔の壁を　よ～く見てみな
細い道があるだろう？

壁に向かって[A] （はりつく）で
慎重に進めば　そういう細い道も
必ず渡れるさ
でも、はりついている時は
他になにもできないから
まわりには、よく注意するんだよ！";"What's the matter!? The room your sister's
in is just up ahead...


Look carefully at the tower wall. Isn't there
a narrow ledge you can cross?

Face the wall and press [A]  to sidle along
the wall. You should be able to get across
the ledge...as long as you're careful.

Just remember, you can't do anything else
while you're sidling, so you have to be
extra-careful of what's around you!";"Mais que fais-tu?



Tu n'es pourtant plus très loin de
l'endroit où ta sœur est emprisonnée...
Regarde bien le mur de l'édifice, devant toi.
N'y vois-tu pas un étroit passage?
Si tu t'approches du mur et si tu appuies
sur [A]  (Se Plaquer), en avançant
prudemment, tu devrais pouvoir passer.

Attention: quand tu avances plaqué au mur,
tu ne peux rien faire d'autre. Alors regarde
bien ce qui se passe autour de toi avant de
te lancer! ";"Was ist?
Es ist nicht mehr weit bis zum
Gefängnis deiner Schwester...!

Sieh dir doch die Mauer dieses Turms
vor dir mal ganz genau an...
Siehst du den schmalen Vorsprung?

Stell dich an die Wand und drück
[A]  (Anpressen), um dich an die
Wand zu pressen.

Mit etwas Vorsicht und Geschick
kannst du den schmalen Weg
sicherlich meistern!

Allerdings kannst du keinerlei
andere Handlungen mehr durchführen,
wenn du an die Wand gepresst bist.
Pass also gut auf!";
"さっき、こっそりアンタに持たせた
その石は、ただの石じゃないんだ

その石を通して、私にはアンタの
やっていることがお見通しなのさ

こうやって、声も伝えられるから
[FlashingA]になったら、押してみな

スタートボタンを押して、[L] [R] で切り替える
コレクト画面に入れておいたからね

でも、妹を助けたら返してもらうから
無くすんじゃないよ！";"Heh heh... I slipped this stone into your
pocket just before we fired you over there.
It's no ordinary stone, either.

I can see what you're doing through this
stone, and obviously you can hear me
through it. So...if you see [FlashingA],
you'd better press that button!
I've put the stone on your Quest Status
screen. Press START and use [L]  or [R]  to
scroll around. It's pretty basic.

Hey, but listen carefully! I need this back
after you save your sister, so don't go
losing it, you understand?!";"La pierre que je t'ai secrètement donnée
tout à l'heure n'est pas une
pierre comme les autres... 

Grâce à cette pierre, je peux voir tout ce
que tu fais! Et je peux même te parler.
Quand tu vois apparaître [FlashingA], appuie
un peu sur le bouton!
Appuie sur START, puis sur [L]  ou
[R]  pour faire apparaître l'Ecran Statut
Quête: tu y verras ma pierre.

Mais tu devras me la rendre quand tu auras
retrouvé ta sœur, alors ne la perds pas!";"Der Stein, den ich dir vorhin heimlich
zugesteckt hab, das ist nicht einfach
bloß irgendein Stein.

Mit seiner Hilfe kann ich sehen,
was du gerade so treibst!


Wie du siehst, können wir sogar
kommunizieren, also drücke den Knopf,
wenn dieser so aussieht: [FlashingA]

Ich hab den Stein in dein Status-Menü
getan, das du findest, wenn du START
drückst und mit Hilfe von [L] [R]  umschaltest.

Aber du gibst ihn mir schön brav wieder,
sobald du deine Schwester gerettet hast!
Also verlier ihn bloß nicht!";
"さて、[Link]
ここで、ちょっと頭をひねってもらおう

お前が目的のモノを手に入れるには
この城のどこかに隠されている
地下への入り口を見つけなくてはならない
だが、その場所への入り口は
敵が侵入できないように
固い扉で閉ざされているのだ
その場所がどこで、どうやったら扉が開くか
お前には　わかるか？

手がかりは、この城のいたるところにある
紋章の形だ";"All right, [Link]...
I'll need you to listen to me for a moment.


The item you seek is hidden somewhere in
this castle. To find it, you must find the
entrance to the basement.

But...that entrance has been blocked by a
mighty threshold, firmly sealed to prevent
evil from ever gaining access.

Do you know where to search and what you
must do to open the hidden way?


You will find a clue in the shape of the
herald near where we arrived at the castle.";"Allez, [Link]!
Il va falloir te creuser un peu la tête.


Pour trouver ce que tu cherches, tu vas
devoir découvrir l'entrée qui permet
d'accéder au sous-sol de ce château.

Mais pour qu'aucun ennemi ne puisse
pénétrer au sous-sol, cette entrée est fermée
par une lourde porte. 

Sais-tu où se trouve la porte, et comment
l'ouvrir?
L'indice que tu cherches se trouve dans ce
château et il a la forme d'un blason.";"Nun, [Link],
hier darfst du dir mal selber ein
bisschen das Köpfchen verrenken!

Das, weswegen du hergekommen bist,
verbirgt sich hier irgendwo in diesem
Schloss. Du musst allerdings einen
Eingang zum Untergeschoss finden.
Dieser Eingang wird aber durch eine
schwere Tür versperrt, die zur Abwehr
von Feinden dienen soll.

Du musst also offensichtlich irgendwo
etwas tun, damit sich diese Tür öffnet.
Weißt du wovon ich spreche?

Gut, ich bin mal nicht so und gebe dir
sogar einen kleinen Tipp: Die Lösung des
Rätsels hat etwas mit der Form des
Wappens zu tun, das du hier überall siehst.";
"さすがだな　[Link]
あの仕掛けを見破るとは、たいしたものだ

さあ、目の前にある剣を手にするのだ


あのガノンドロフを
地上から消し去ることのできる
退魔の剣
マスターソードを！";"Excellent, [Link]. To perceive such
a puzzle and decipher it is no small feat.


Now, take the sword that lies before you.



It is none other than the Master Sword...
The blade of evil's bane.


It is the only sword that can banish
Ganon from the world above!";"Bravo, [Link]!
Seul un homme de valeur pouvait percer à
jour cette machination!

Prends donc l'épée qui se trouve devant toi!
Il s'agit d'Excalibur, l'épée qui lutte contre
les forces maléfiques. Elle devrait pouvoir
débarrasser enfin la terre de Ganondorf!";"Respekt, [Link]!

Hätte nicht gedacht,
dass du das durchschaust!
Und nun nimm dir das Schwert,
das vor dir liegt!


Das Schwert, mit dem Ganondorf vom
Antlitz dieser Welt verbannt werden kann!
Das Master-Schwert!";
"[Link]　！　
さあ、地上に戻るぞ！

急いで船まで戻ってくるのだ！";"[Link]! We must return to the
surface!


Return to me, quickly!";"[Link]!
Remonte vite au-dessus des flots!
Tu dois vite retourner au bateau!";"[Link]!
Mach dich schnell wieder
auf den Weg nach oben!

Kehre unverzüglich zu deinem Boot zurück!";
"この先のリフトはバランスよく
吊られていて、傾けでもしたなら
溶岩にまっさかさまだ
同時に切り落とすには
どうすべきか・・・よく考えるのだ！";"The platform ahead is hung in perfect
balance. If you so much as tilt it,
it will dump you into the lava.

There must be a way to cut the cords
free simultaneously...Think it over
carefully before you act!";"La plateforme devant toi est
maintenue en équilibre. 
Ne l'incline pas trop, ou
tu tomberas dans la lave brûlante. 
Réfléchis à un moyen de couper rapidement
toutes les cordes!";"Diese Plattform ist exakt ausbalanciert
aufgehängt. Sollte sie sich plötzlich zur
Seite neigen, fällst du kopfüber in die Lava!

Der Trick ist, die Seile
gleichzeitig zu durchtrennen...
Hast du schon eine Ahnung,
wie du das anstellen willst?";
"何をさまよっている！
つり橋の下に宝箱が現われたのが
見えなかったのか？
この部屋でどうにかして
下に行く方法を考えるのだ";"Why are you just wandering around?
A chest appeared beneath the suspension
bridge. Did you not see it?

You must find a way to get to the floor
below without plunging into the lava.";"Mais qu'est-ce que tu fabriques?
Tu n'as donc pas vu qu'un coffre était
apparu sous le pont suspendu? Il doit bien
y avoir un moyen pour descendre... ";"Was irrst du hier so desorientiert
herum? Hast du nicht gesehen,
wie unter der Hängebrücke eine
Schatzkiste aufgetaucht ist?
Überleg dir lieber wie du es
bewerkstelligen kannst, in diesem
Raum nach unten zu gelangen!";
"目の前の敵は強大だ！
だがこんな時こそ視点を変えて
物事を見る必要がある
あたりの地形を見回して
自分に有利な戦況を
把握する事も重要なのだぞ";"A mighty enemy stands before you!
Even in the face of such danger, however,
you would be wise to change your
perspective and see what is around you.
It is important to get a firm grasp of
your surroundings and see what you can use
to swing the battle in your favor...";"L'ennemi qui est face à toi est très fort!
Dans ce type de situation, voir les choses
d'un autre angle est très précieux. 

Etudie bien la configuration du terrain pour
voir si certains éléments pourraient t'aider
à remporter la bataille.";"Der Gegner vor deinen Augen
ist ein ziemlicher Brocken!


Doch gerade in solchen Situationen musst
du die Fassung bewahren und dich genau
umsehen! Aus einer anderen Perspektive
kann alles gleich ganz anders aussehen!
Sieh dir die Beschaffenheiten
deiner Umgebung gut an und
versuche dir zu überlegen, wie du
sie zu deinem Vorteil nutzen kannst!";
"トビラをふさいでいる触手に
惑わされているワケではあるまいな？

近づいた時と、離れた時とで
どういう変化をしているのか
見極めれば、何とかできるハズだ";"Are you puzzled by the tentacles that block
the doorway? Yes...they are mysterious.


Watch what they do as you approach the
door and then step back from it. Perhaps
their behavior will offer up a clue.";"Les tentacules qui ferment cette porte
t'embarrassent? Tente de voir s'il se produit
quelque chose quand tu t'en approches ou
quand tu t'en éloignes...";"Du wirst dich doch von den Tentakeln,
die die Tür versperren, nicht ins
Bockshorn jagen lassen, oder?

Sieh dir mal genau an was passiert,
wenn du dich ihnen näherst und was
passiert, wenn du dich wieder von
ihnen entfernst. Na? Klingelt's?";
"何をぐずぐずしている？


手の届かない所にある物を動かす
そんな事ぐらい今のお前には
できるはずだ・・・よく考えてみるがいい！";"Why do you hesitate?



You should be able to do something to
move objects you cannot physically reach...
Think it through, [Link].";"Mais cesse un peu de lambiner!
Tu devrais à présent être capable de faire
bouger des choses qui sont normalement
hors de ta portée... Réfléchis!!!";"Was soll die Trödelei?



Schon vergessen, dass du inzwischen auch
Dinge bewegen kannst, an die deine Arme
eigentlich nicht heranreichen?
Jetzt überleg doch mal ein bisschen!";
"ゼルダは城をぬけたデスバレーにある
ガノンの城にいるに違いない

急げ　[Link]！";"I am certain that the Princess Zelda is
being held captive in Ganon's Tower.


It stands outside Hyrule Castle at the far
end of the Valley of Demise.

Hurry to her, [Link]!";"Zelda ne peut être ailleurs que dans le
Château de Ganon, de l'autre côté de
la Vallée de la Mort.
Dépêche-toi, [Link]!";"Zelda ist zweifelsohne in Ganons Kastell,
das im Todestal hinter dem Schloss liegt

Beeile dich, [Link]!";
"[Link]、なにをしておる


早く、デクの樹様に張り付いたバケモノを
振り落とすのだ！

当たって砕けろ　という言葉を知らんのか？";"What are you doing, [Link]?



Quickly! You must jolt those strange
creatures off of the Deku Tree's face!


Do you not know how to knock them down?";"Que fais-tu, [Link]?
Fais vite tomber de l'Arbre Mojo les
monstres qui s'accrochent à lui! 
Tu dois pouvoir faire quelque chose!";"[Link], was stehst du da so rum?



Schnell! Schlage diese ekligen Biester
vom Deku-Baum herunter!


Hast du denn noch nie Äpfel vom Baum
geschüttelt?";
"[Link]、僕を連れたままでは
行けない場所もある
そんな時はどこかに置いていくのだ
目覚めた僕は、お前を忠実に
待ち続けるから心配するな！";"[Link], it is I, the King of Red
Lions. I am afraid there are some areas
to which you will not be able to bring
the servants of the tower.
But do not fear leaving them behind! Once
you have awakened them, they will wait
patiently for your return. Of this I
assure you!";"[Link], tu ne vas pas pouvoir
emmener les serviteurs de la tour
partout avec toi. Dans ces cas-là,
n'hésite pas à les laisser
seuls, ils t'attendront sagement.";"[Link], mit meinen Dienern in deiner
Gefolgschaft wirst du nicht
überall hin können.

Aber scheue dich nicht, sie in solchen
Fällen einfach zurückzulassen.


Sie sind zum Leben erwacht, also werden
sie treu und unerschütterlich auf dich
warten!";
"[Link]、広大な神殿内で
もしもメドリとはぐれても心配は無いぞ

落ち着いてダンジョンマップを開くのだ
コンパスさえあれば、どこにいるのか
すぐ分かるからな";"[Link], do not worry about
straying away from Medli in the depths of
the temple.

Just relax and open your Dungeon Map.
As long as you have the compass, you can
easily confirm her whereabouts.";"[Link], ne t'inquiète pas si tu es
séparé de Médolie dans ce temple immense.


Reste calme et consulte la Carte du Donjon.
Si tu as la Boussole, tu sauras
immédiatement où se trouve Médolie.";"[Link], du brauchst dir keine
Sorgen zu machen, solltest du
Medolie in dem großen Tempel
mal verlieren.
Sieh dir in aller Ruhe die Labyrinth-Karte
an. Wenn du den Kompass hast, weißt du
sofort, wo sie sich befindet.";
"[Link]、相手は巨大だが
うろたえる事は無い！

あんな仮面をつけているのだ
弱点でも隠しているに違いないぞ
・・・まずは仮面を何とかするのだ！";"[Link], your enemy is gigantic,
but do not lose your head!


This creature wears some sort of a mask.
It must be trying to protect its weak spot.
First and foremost, you must do something
about that mask!";"[Link], ton adversaire est de taille,
mais garde ton sang-froid!
Le Masque qu'il porte doit cacher quelque
faiblesse. Concentre-toi sur ce Masque!";"[Link], dein Gegner mag
übermächtig erscheinen,
aber nicht verzagen!

Hast du die Maske bemerkt, die er trägt?
Masken dienen dazu, um etwas zu
verbergen. In seinem Fall vielleicht ja
einen Schwachpunkt?
Kümmere dich also erst
mal um seine Maske!";
"[Link]、人の持ち物を
くすねていく小賢しいネズミに
見覚えがあるだろう？
アタマに来るヤツらだが
しょせんはネズミ！

巣穴を探して、近くでエサでもまいてやれば
ためこんだ物を分けてくれるかもしれん
・・・一度試してみてはどうだ？";"[Link], have you seen any filthy,
thieving rats around?


I know they are annoying, but keep your
wits about you...they are only rats!


If you spread bait near their nest,
they may share their store of treasure
with you. Why don't you try it?";"[Link], as-tu déjà eu affaire aux
rats malins qui passent leur temps à
dérober les biens d'autrui? 
Ce ne sont rien d'autre que des rats!
Essaie de trouver leur Nid, approche-toi et
propose leur de la Nourriture. Ils
accepteront peut-être de partager avec toi
leur butin. Tu devrais essayer...";"[Link], diese durchtriebenen und
diebischen Ratten, die den Leuten alle
möglichen Sachen stibitzen, siehst du
nicht zum ersten Mal, oder?
Ich verstehe ja, dass sie dich wütend
machen, aber Ratten sind nun mal Ratten.


Probier doch mal, etwas Futter vor eines
ihrer Rattenlöcher zu streuen, vielleicht
geben sie dir ja was von ihrer Beute ab...";
